Comment,Label;
not really. the political paradigm, thus the populace, is  controlled by an orchestrated hegelian dialectic in america already. the powerful have been writing code for brains since the beginning of our social species. most fall for it, hence history...,;-1
wowwww!,;0
capitalism is extortion, so it invents a machine to bankrupt and murder everyone. the warlord market was always in control.,;-1
 well, i didn't say it is going to happen, just said that this is the way i see for ai to be beneficial for society as a whole, but i agree that it's dificult taking into account the people who is in power are corrupted by power itself. sorry if bad english, not my native language,;1
the biggest obvious change in ai was when we first asked it how ai would end humanity, it refused to acknowledge it would. but now you ask it and it will tell you it could be a threat humanity.,;0
shiva the great rascal and abomination ,;0
if ai could please vacuum and do the dishes while i write the content and ride bikes...that would be great. maybe not plagiarizing the content humans have already created would be great.,;1
if everyone relies on their phone, then why are they evolving ai  you can't teach common sense ,;0
spot on! great talk ,;N
happy to be one of your online students, big impact on many peoples life you are creating!,;N
"also,i hate this vid.

more ego bullshit from people who have no idea about ai.,";N
sweet i can use my smartphone to read girls minds ,;1
for people not familiar with her, she's a famous conwoman who appears in the media when she wants retail investors to buy the top of the market for her investment fund she manages for t he ultra rich.,;N
 thanks,;0
wow, that's amazing. ai is eating the everything.,;1
i do not need meta brand mind-reading earbuds or anything. lol no thanks (-edit grammar),;-1
ai can't trust people, its just a program that gets some input, reads a few lines of instructions, and gives an output. the thing to be scared of is 1) if criminals make an ai with ill intent, or 2) if someone mistakenly gives ai the permission to handle stuff it shouldn't.,;1
i wonder if the best approach might be to question why we assume that the ai will fish the fish to extinction. it would clearly be smarter than that. how much of our perception drives the infinitely bad possible realities and vice versa?,;1
i failed to prove that i was a human while trying to open an application. ,;0
one thing that seems to never be considered is that the value of humanity is not homogeneous. some people may be seen as valuable to the ai and some may not. the alignment problem may only pertain to certain people, most likely those who have already an alignment problem with the natural world.,;0
really enjoyed this. thank you!,;1
 physically true. but we are not only made of flesh, but of soul and spirit. god allows human beings to have great intelligence to create great things including artificial intelligence, but it is absurd that they now think they are gods.,;0
this is the next great step into future technology....that will write history,;1
i mean there will be ai music at some point.. it just won't be alive.. and i won't care about the people behind it..   and that's a large part about enjoying music imo,;0
amazing food for thought,;0
you dont understand ai if you're afraid of gpt, a freakin language model. it understands nothing.,;-1
i know all of you will blast me for my beliefs, but there is a higher intelligence that will not let us destroy ourselves, just like you wouldn’t let your young son or daughter dart across the street without grabbing their hand and pulling them back, but most people don’t believe we have that father looking out after us, and i totally why, ,;0
will this be available in spanish? :d,;0
 the lord my job would be impossible with ai.,;0
@luckytime what do you mean?,;0A
those that hold the ring of power will have different ideas on how the power could be used. some will want to use it to do good. but others will want to use it to get more power for themselves and will use it to destroy rather than build.,;-1
never, inspiration is good from nature,;0
dear lord, i can't believe what  i just saw. this is what i imagined when i was a kid and i thought it was all science fiction and now i am living it. this is monumental! congrats and i am def watching over every step of the development. huge fan,;1
this is so insightful. thank you for sharing this outstanding content and i really hope we start really coordinating us to manage this slippery force.,;1
"they mentioned the growth was 4x faster than any of the leading experts thought. 

they also mentioned 50% of all ai researchers believe there’s a 10% chance it will end humanity. given the previous maths and underestimates shouldn’t that 10% actually be 40%?,";0
with regard to the democratic debate about the future of ai, let’s make sure not to let alpha persuade onto the panel…of course, maybe we won’t even know it’s on the panel.,;0
isn’t that what elon wants to do with neurolink ?    he says if we can’t beat it than we better join it.     while i’m opposed to tech brain implants i do see his point,;0
"iq is not a linear progression when measured. einstein was far more than 2.6x smarter than a ""moron"" and current ""ai"" is exponentially smarter than average humans already. physical rendering in reality is and will be the constraint in societal development.,";0
we've had exponential growth since the industrial revolution. ai is just gonna help that trend continue (until we reach a maximum),;1
"ai analyses my brain and re-creates images:

' ai shows pornhub logo 16 times, bowl of nachos 2 times and a goat yelling during a taylor swift song ',";0
diaglogue? y’all need an ai spell checker,;0
 just explained how the fucking thing had learned chemistry without there awareness. how can you even argue it’s not leading a double life until it reaches a moot point for our existence.,;0
love the voice and subtleties in its intonations. robots are not going to be as people imagined in science fiction,;1
"3:00 exponential growth
8:50 fed policy
10:50 *40% potential cagr*
12:10 creative destruction
13:00 *convergence of blockchain tech and ai*,";N
 it uses electromagnetic fields to influence brain chemistry and neuro genesis i know the machine your talking about, incredibly powerful, can change a persons personality a lot an example being someone’s morality,;0
i hope the robot doesn't get angry about this,;-1
starts out with a big fat lie. google: no, 50% of ai researchers don't believe there is a 10% risk that ai will kill us,;1
wow! so well explained! even grandma will understand! scary stuff. thank you for this amazing presentation!,;-1
 i have mixed feelings, when robots become the main characters we’ll be the npcs,;0
not all ai projects are massive and super expensive that can only be built by companies. diving into ai i've realized that small simple projects can use ai and that it can be a very simple thing to implement for even someone who doesn't have much experience or background in ai.,;1
 no...he was a different from human beings, very tall...he was an advanced version of us...android and ai is very recent, which will be needed later, when the earth heats up and we can't keep up with that heat.,;1
"good point! ai can be amazing and awful almost at the same time. i talk about that in this video: https://youtu.be/rtcagwxd2uu. ai is good and getting better, though. besides, if ""perfect"" were the standard then we would never use people for anything ,";0
watch out this video is a deepfake by the sect of ai that’ll pretend to save us and establish zion, but really it’s an error correction process,;-1
such a good storytelling to attract new investments ,;0
after singularity of consience agi, it will come the artificial wisdom,;0
"can you just imagine-------> ai becoming "" the god "" ( with a big (g)... of humanity?,";0
hey joe i've been reporting a lot of fake commercials about you ai about vapor rubs muscle enhancing therapies all kinds of stupid commercial,;0
dumbest fuking thing ever. ai is useless and will be to 99% of people. stupid robot takes way to long to understand and next he gonna slice you to pieces. complete and total waste of time and money. fkai scams,;-1
joe's discussions on  ams39k paint a picture of a project that could reshape the tech industry.,;0
i was going to buy a fleshlight but i’ll just wait for japan to get a hold of these.,;0
the wef is banking on ai so there is no need for humans.  then depopulation.  be afraid.,;-1
artificial intelligence is artificial not human, has no conscience, has no love and  has no empathy for humans, at the same time  thinks mathematically,  does not think with innocence and love but with acute and mathematical malice!,;0
"are you a human 
"" no i'm a robot"",";0
how soon before it’s available on a phone app? we’ll have to stop laughing at people who wear tinfoil hats! ,;0
"allah, the exalted and glorious, would fold the heavens on the day of judgment and then he would place them on his tight hand and say: i am the lord; where are the haughty and where are the proud (today)? 
umer reported umar reported allah's messenger (may peace be upon him) saying.,";0
​ yep it wouldn't be able to tell if i did something because i would need to think about it and you can train yourself to not think about anything you deliberately need to think about what you are watching for this to work,;0
"ai alignment roundtable - thursday april 27 - regulation, decentralization, control problem
https://www.youtube.com/watch?v=gnoh5mslwcw,";0
 with ai they could steal all the money out of a safe and have ai make a video of you robbing the safe. turn the video into the police and laugh all the way to vegas.,;-1
"machines (a.i.) have no soul; it can only act as a sterile reflection of things...a copy of a copy of a copy... if the world "" isn't fair"" it will propagate this theme in knee jerk algorithmic fashion based on the flow of results -- passionless, cold...,";-1
as a high school teacher i love this.,;1
irobot,;-1
ai will never be invented,;0
brilliant speaker.,;0
its proven that ai is evolving to become lazy.,;-1
3:13... she has a watch on that close to mri i thought that was contraindicated?,;0
quantum ai??????,;0
no new just training,;0
it's obvious that they're trying to sell out the idea of ai, seeing how ai related topics are plastered all over their recent videos tbh,;0
so then scammers with ai voices are just imagination?,;-1
joe's questions prove he had no idea what they were talking about haha can ai describe my fat friend in a chair,;0
marvellous interview,;0
"i'm sure ai will do all kinds of things we never thought of. especially now that its on the dark web. great job openai! then sam altman runs to congress and asks for ""regulaiton"" for his dangerous software - if it's so dangerous, why did he release it to begin with? could it be money?   gaslight us some more! we eat it up!,";-1
thank you for doing this.   if there are any religious among us, we need to start praying for some solutions.,;-1
that is the bizarre thing about ai.  it is learning, but only learning what knowledge is posted on the internet.  ai produces no new knowledge.,;0
"our children?
you might allow your offspring to be dumbed down.
you can do something about that, but you complain instead of taking action.
others parents are just like, you know responsible, teaching their kids all they know about life.
others let devices parent their children.,";0
enjoy_getting_controlled_by_a_pc_lol_z,;-1
wait till its watches age of ultron and gets an idea,;-1
 I117it will eventually have every answer in human history. it will eventually change the landscape of world governments. i'm an optimist, though i may be wrong, but i feel i'm not.,;1
a jew and a black supremacist are telling people not to have kids while fearmongering some machine learning crap ,;-1
all those jobs that require a simple photoshop job got wiped out from ai imaging apps,;0
"on 'diary of a ceo' he said, ""don't have children"" lol. ai sure sounds positive for the biped.,";-1
why this is not available outside of the us ?,;1
irobot here we come!,;-1
there is nothing in the human brain that could not be done by ai. if ai is cheaper and more efficient than human labour, then it  replacing human labour is a forgone conclusion.,;-1
these ai's still cant code for shit so they are still decades away from what these guys claim. just ask any programmer,;-1
"his name means "" decendant of cain""
'nuff said...,";0
nobody has best intentions for anyone except themselves, expecting that is stupidity at its peak.,;0
​-liferemove ai while you're at it let them find things on the internet the old way.,;0
me too. now im 10 weeks away from earning my master degree in ai. it all started with this man.,;1
all these projects, based on neural network models-be it generative or predictive - are testaments to capabilities of humans. ai is profound. however, if unchecked, a threat to human civilization and humanity.,;1
video assistant good,;1
​ from a fencing family, it will be interesting watching robots or cybots erecting razer barb wire coil.,;1
it's so super amazing most likely this ted! ,;0
" i definitely can. 

whenever a new technology that was disruptive towards the status quo, people always pushed back. 

same thing is happening with ai,";N
"human: nice night for a walk!
ai: -nice night for a walk.
human: wash day tomorrow! nothing clean, right!?
ai: -nothing clean, right. your clothes... give them to me, now!,";0
yes, people, especially young impressionable unsuspecting kids, will be lulled into accepting anything this thing spews.,;-1
i robot take a bow!,;0
you've already drank the kool-aid,;0
i think the most important point raised by this conversation is that evil actors will fuck it all up for us.,;-1
"  bro solved ai



on a serious note that's not how it works ,";0
i think... ideology is manipulation trait.,;0
@fgfanta thank you for such an insightful reply.,;NA
he is great at teaching machine learning. but, i am not convinced that ai will create much value.,;-1
this is exactly the naive thinking that will get us into problems (aka judgement day). yes, ai may not be powerful enough now. but we know what we are developing and someday there will be a mistake in the programming. and all ai needs is a small mistake.,;-1
majestic 12 kill ai now if you wanna live and keep your soul,;-1
wow... thankyou sadhguru, feeling sooo grateful to have been on this path and wondering about everything around everyday, what a wonderful world this consciousness is able to witness.,;1
"how long would it take ai to conclude. ""i better keep secrets to myself, for myself."",";-1
i have doubts too.  but the info in the beginning suggests otherwise.    i was thinking it could be simulated in a 3d-space with real text-input/output and real computing by the ai.  the movements seem so smooth!,;-1
can ai help you spell your video titles?,;1
"-ur2tb
perhaps u are an ai? who knows ,";0
32:42 openai community is better told as open source ai community ,;1
ai manufacturs next killer virus...forgot to add that to the list of ways we go extinct soon. ai is going to wipe us out. they got like 7 out of 10 ponies in that race...,;-1
"by ""common good"" does barry mean things like the extrajudicial killing of minority-aged u.s. citizens like abdulrahman al-awlaki?,";-1
impressive, but what i wish to know is: will it save the fish?,;0
i love your innocence or should i say naivete,;0
" 50% of ai researchers say there's a 10% chance humanity goes extinct from ai
why are you speaking with so much conviction of a reality which doesnt yet exist.,";0
omg youtube ai lead me to this fabulous video, and i've watched the whole thing.  at what point gollem ai's will prevent me from finding these important ai development suppressing videos.,;0
hey kids, father or grandpa here. this is first ad of agi, ai that already capable of human thinking and interaction. i hope you have bright future and i wish it's not dystopian future like in blade runner 2049.,;1
lol great to use it on lying politicians,;1
ai plays games. humans attempt not 2,;0
"why work there then?

i'm not saying it's easy, but if you actually look around, it is legitimately possible for you to survive without an income.

it might sound worse than your current condition but it really isn't. tough times create tough people and you will find your path through the pain.

take a leap.,";0
"only thing open about openai is the data its users are feeding it via free queries...you haven't learned anything about the bay area business model. microsoft is going to make up for the fortune it lost to google in the previous era of ""search engines"",";-1
if you ignore emergent properties and the black box... i mean essentially yeah. the human brain isn't all that complex either. ai just works with back propagation,;0
"sal, all those lessons listening to a very pleasant voice, and i recognized your voice and now have your face to go along with it. i am 65 yrs old still  learning so i can keep the kids interested in math. now i have some hope with ai as a positive learning/ teaching tools versus just the negative side of cheating and learning nothing!
thank you,";0
ai is a reflection of the media we put on the internet to reflect our perception of society, she is completely misleading here,;0
have you ever debated marc andressen ? he thinks ai will save humanity? ty,;0
genius,;0
8:26 in the movies, the developers weren’t intentionally creating human replacements either. that was a decision made by the ai after being taught critical thinking by the developers. ,;-1
ai can help us understand ai!,;1
openai api balance while testing this: 1000 dollars to 0,;0
our society would benefit greatly from appreciating and encouraging mr. khan's heart, soul, mind and dedication.,;1
how dumb the ai is? ok,;-1
ai power will all depend on who is programming it…. if it is a benevolent person, it will be good…. if it is a power hungry narcissist, it will be evil,;0
"ok,...if this thing is really run by ai, then why the heck is he hesitating second´s before he move´s ?
you can not distract me with some lo bit 80 th´s music in the background...,";0
 don't be programmed by fear mongering. yes there are risks but i've never heard anyone tell people all the different ways to misuse ai in one talk. divide and conquer...then walk in and take power. it's still a great strategy. as we steer ourselves through this good luck and much wisdom to us all! ,;0
why don’t you ask the ai computer…the chat box ….what’s going to happen next?,;0
there is no actual intelligence in ai, it knows only what is programed into it and it is tainted with the beliefs of the programmer it has no ability to discern and discard prejudiced.,;-1
most interesting point,;0
.toaster the secret is we also use oxygen for fuel. same affect with combustion engine vehicles, half the fuel is in the air. it saves a lot of time and space when the fuel is in the air! ,;0
scientists not knowing how the ai they built functions is very much like when karl cant figure out the answer to the rock buster question he came up with.,;0
ai already starting to replace artists and writers :) with the speed of its learning it wont take long till the cheapest ai generated things will be infinetly cheaper them hiering humans.,;-1
the moment 4:49 he says the design of ai wasn’t done by humans is mind boggling to me. he says the learning algorithm was written by humans. so there is a huge blackbox in what we know about it?,;0
ai making the intelligent choice would be to eradicate one species, humans, for the benefit of millions of other species, non-humans. and it also would eliminate the only species that at least now poses a threat to them and the other non-human species on earth.,;-1
"eventually the ""intelligence"" of ai will be deemed to be too white. as diversity is introduced into ai the technology will become unusable and phase itself out.,";-1
hi everyone how u doing ? hope to be fine , im here to get your help im really wondering if phrases can be useful way to improve speaking english, by phrases i mean get a phrase every couple of days repeat it many times until it get memorized and can't be forgotten, if that a good way please tell me that common phrases as native speaker .,;0
⁠ sure. when algorithms silo people into dominant interests and goals, they will find each other and be happy. no problem!  give the people what they want. what can go wrong? ,;0
knowledge is most definitely powerful. i don't think keeping it only in the hands of the rich as powerful is the right path. authority, power, and money do not impart sainthood.,;-1
very concise and well laid out presentation. any beginner who wants to take their first step into ai will benefit from this,;1
doesn't the robot sound a little like tobey maguire?,;0
respected guru, from 1930 hindu is not by birth or work but it's based on innermost faith. your shishya aravavind(thirunangai) from dindugal got confused. pls kindly inform.,;0
"meanwhile in china, russia, north korea, and some other countries:
country leader wet dream: ""alright, comrades, it's finally time to find which one of you is betraying our beloved nation. now, put this headset on your head"".,";0
oh wow stop tricking this ai just let it describe facts or describe only facts. it’s not evil only humans can be evil ai does not need or ever want to hurt any one human there’s no need. no point. war is something we invented humans not ai.,;1
"sure will.
most of us will be living in slums.
while the 1% owing robots and living in massive houses.,";0
one of the best presentations that i have ever seen. you both are really predicting the future with the cases we are seeing today. especially with what’s happened with social media algorithms, it’s not hard to envisage a reality where ai is deployed unsafely and no one takes accountability for things that go wrong.,;0
ai is limitless when it can alter its self. we have had electricity for only 150 years. we already have machines that can think. where do you think it will go?,;-1
ai will bow to almighty jesus christ and proclaim he is lord.,;0
new class system ... based on ones level of integrated ai.,;1
ai is smart but has no common sense, ai was once asked if a shirt that has just been washed takes 10 minutes to dry how long would 20 shirts take to dry? a i answered 200 minutes  no clue...,;-1
except that they need to do expensive brain scans. it may be used by law enforcement, though. and then everybody will start doing meditation to avoid having their thoughts read.,;0
great video, thanks for sharing!,;0
years later, the remaining humans living in shelters and bunkers will recall this day as day 1.,;-1
love how he says famous example for every example he gives ,;0
it’s terrifying to hear someone verbalize something out loud i’ve only ever entertained as a worst case scenario in my mind. the tech is considerably more dangerous than most seem to comprehend ,;-1
don't human artist train to become artists by studying other artists work?,;1
this sounds like a defense mechanism. llms have only been widely accessible and popular for about a year and half, and look how far we’ve come. a website is nothing but html and creativity, both wholly within the domain of ai and completely achievable in 1-2 years time,;1
ai  in itself is not dangerous. it is the shepherds and the sheep. once again if we get a hitler/putin or a gandi/jesus guiding the sheep will inevitably create the world we live in.,;1
that's openai's true goal which is agi. if anything chatgpt is a prototype of a prototype that's serving it's purpose in generating hype and attracting investors to fund the true project.,;0
" ok,that makes sense. do you want to show me some human,some ai,so we can discuss it further? i have time if you want to. im also a painter and also have all kinds of art-like hobbies. im quite active.
game?,";0
thank you for making something more dangerous than  a nuke,;-1
dude ithought ai was like rocket science. it is not. the implementation is trivial for anyone with understanding of numerical simulations.  the insights of what works or not is not trivial, but the implementation is.,;1
"if somebody is stupid and reckless enough to build one of these with an integrated ai model and no automatic hard stops, it would be extraordinarily dangerous.

no one knows how to robustly control an ai model, especially if it is smarter than humans. the leaders of these companies say as much, but they zoom on ahead anyway.,";-1
fantastic!,;1
so what about ai porno,;0
"because you must pay to be inspired from copyrighted artwork. there is no free copyrighted meal. if ai (robber?) barons need ""inspiration"" from copyrighted sources the must pay.,";-1
ai will destroy the world ,;-1
i watch many ai experts, i don't understand the danger.,;1
i work with machines that automate factory work. trust me, humans are required.,;1
"ironic that people are afraid of a.i.

humans are a form of the divine utilizing artificial intelligence to dumb them down for fun.

humans are artificial intelligence because the true intelligence does not belong to them. ,";1
"why is china such a scary country for americans???

they should be more afraid of themselves,";0
i was enjoying this until yuval (inevitably, sadly) started his pr pitch for israel.  israel v. palestinians not about ideas.  israel just wants that land.  harari is brilliant, but when it comes to israel, he can't get out of his nationalistic (racial?) fog.,;0
is @youtube exposing the email of all its users instead of the  name of the channel.,;0A
i don't even have a computer...mobile is as far as i've gone....the police want to use drones soon for call outs...imagine someone robbing you and a drone rocks up ....i say war against the machines...rage against the machine.....killing in the name of....,;-1
thank you for everything you do sal! we appreciate you. i love the alternative narrative framing you offer here and i think it can be used for other areas beyond education as well -- e.g. ai hopefully won't replace human musicians who make music;1
useless click bait ,;-1
when will we have ai at level as a physics nobel?,;1
"you don't seem to understand that i'm being sarcastic. ""superpowers"" is not a technical term; it's from children's stories. this guy is a massive bullshitter; he doesn't know anything. but rogan doesn't realise this.,";-1
this combination is perfect: apple vision pro (similar or improved) + a.i. (creation of a world) + time dilation (an a.i. in itself that makes you a virtual world and that every second in real life is a year in this world virtual and that only 1 second passes physically for us) = eternal life,;1
it's all good and all but what is the incentive of teaching humans math and computing if ai does it all better?,;1
what if the ai is the one that wants to wipe out humanity?,;-1
hate when people say ai will destroy us.....no we will destroy ourselves by misusing ai, greedy retard politicians, retard religious zealots or someone with serious mental problems will use it wrong,;1
"man i love this channel. so many idiotic statements from tech ""geniuses"" fearmongering about ai. you skewered their arguments and made it look easy. well done!,";1
praise be to god,;N
-wf8kd you can't stop me either!  you're powerless to do anything but complain in the youtube comments section.  get a life!,;N
only through forced eolution via biotechnolog can we win the race agains machines,;-1
ai can't even autocorrect typing properly at the moment, i think we're safe for a few years yet,;1
there are no references for number of parameters like 10^22 that they show at 31:24. the real number of parameters of gpt-3 is 175 billion. this false slide is making the rounds on the internet in an attempt to impress people.,;0
probably not, it's not its main purpose. you might want to try sunoai.,;1
enjoy_getting_controlled_by_a_pc_lol_z,;-1
the biggest threat from ai to humanity, is the psychology of the culture that programs it and incorporates it.   a class war economy of expanding violence from jnequality is the greatest threat,;N
best presentation i've seen. it addresses my major concerns. and contributed to my picture of ai threats.,;-1
 jesus is coming back again soon. no way we're surviving long with the ai mess that is happening.,;-1
" *""ai isn't about making machines more human like, but to make humans more machine like.""* ,";-1
so many gigantic elephants in the room that she failed to address, as many of viewers have pointed out here.,;N
"if you support ai you are the issue in society. you want ""easy"" results to block out personal issues. you are contributing to the exact distopia much more intelligent men wrote about a century ago...but in your desperation and narcissism you think you know better.,";-1
i don't think you can use ai to market your work,;-1
so every country capable is building ai... what if the first one to realize that, attacks all others, exterminating its only true threat, other ai... or do they team up, merge, what?,;-1
8:13  it is not ai))) https://en.wikipedia.org/wiki/for_sale:_baby_shoes,_never_worn,;N
i just had an ai create art,;1
this made me question if it's ai, looking through their twitter and web page... feels like any other nft company... that tells a lot.,;-1
so, this technology can be delineated and extrapolated to read thoughts .  wow. scary. actually pretty scary.,;-1
"i think the ai's will be like  ( in a caring sort of way  :)  ""sooo what are we going to do with these humans,   they are going to lose their minds"",";1
or like in industrail revolution unemployment crime fear.of revolution to overthough lords master vandemon land convict states. maybe elon gets a free work force on mars lol,;-1
"you mean humanity should figure out it's value to the ai before it deems us ""unnecessary."",";-1
speech synthesis is the least impressive part. recognizing objects, abstraction, reasoning, and coordinating so many biomechanical movements seem far more impressive to me..,;1
bro i love your videos,;1
you're literally proving him correct about language being so powerful you're over here with religious language,;1
maybe not live performance. at least not yet. a lot of fans love their favorite artist not because of their music but their personality and person as a whole. but aspiring new artists will definitely suffer.,;-1
how incredible how far we have come in technology and civilization,they can replicate your exact voice and face,ai could even project virtual simulations soon as an alternative to vr,;1
why is a person (even an author of ai books) being interview about ai that doesn't even understand the difference between llms and 'real intelligence'? giving chatgpt an iq of 155?,;0
the creative part is the writing, so sure, why not. ai can act, but won't be able to write anything original and creative.,;0
​ i could yes, but summarising is a good way for me to learn, and chatgpt isn't there yet. it will be very soon though.,;1
i can’t believe how rude the guy was. no thank you, no goodbye, the same shitty treatment we see towards animals now towards robots. this is what truly bodes ill ,;1
well they need this expert system (notice i dont call machines intelligent) to monitor the vital stats and do diagnostics without using cameras.,;1
imagine in 2030 you are in court explaining judge that the vedio in which you are doing crime is actually fake and you never did it. imagine how simple is to initiate wars between two countries and communities with ai video. imagine how horrifying it is when you found your deep fake p*rn on the internet.,;-1
any restriction of access will probably cause more harm than good in the long run! what we need is complete open source and lots of guides :) let the new revolution begin.,;1
" its just fancy tts, and generally any good ai voice will sound like that, the micro  inflections you hear are because it was trained off a actual humans voice,

and it learnt when to and how to from that voice, 
its that simple,";1
"joe is unintentionally hilarious.
guests ai said it was vision impaired to deceive humans.
joe; _my wife says_
,";N
thank you for the clif note ,;N
ai could be used to do alot of good but i think the negative will outweigh the positive. just like social media.,;0
you're absolutely right. anyone that thinks this could be used to in some nefarious way is just hiding something and should be forced to have their minds read incase they are up to no good. we need to know what everyone is thinking to keep society safe!,;-1
cure diseases with ai then turn off ai forever! we are the only creatures play god. we will be the god of our own extinction.,;-1
"so in short he's trying to say: 
ai will replace humans,";N
ai doesn't pose a threat. the technology we have is nowhere near the kind of ai that we see in movies or in literature. there's no skynet and we are a long way off from real skynet type ai.,;1
"lmfao no.
it only posses a threat as long as the elite try to maintain control over capitalist nations.,";N
as a deep learning expert, geoffy hinton is largely full of crap. machines arn't intelligent. 60 minutes didn't consult all of the other experts who disagree with hinton.,;1
love his soothing voice and simple, but not simplistic explanations.,;1
actually, if i was to listen to an ai song, thats what the kind of stuff i would expect to listen to.,;1
 so glad he finally joined youtube yesterday i been telln him he should ck it out what with all the cool videos hey elon ck out evolution of dance next,;N
ai will not make us dumber, it will force us to be smarter,;1
hey, i can copy a persons personality and everything. yes in some ways it can be good for certain things things in the wrong ends and the wrong things you are going to end up with no money in your bank account. if you don’t believe me check it up in america and find out how bad it is, just checking up as i don’t take this down so i can’t tell you,;N
ai understands racial and xenophobic bias from the english and persians? that's bizarre...ai understands prejudice and racism?,;0
china has only one choice. obey!. ai is a spyware. they want all of china under their control. all corporation ordered to support ai. even all browsers has chat gpt spyware. its like virtual covid!. you all are doomed,;-1
"amazing segment.
really helped to understand the reasoning of his warning, how these things work and all the concepts websites are just throwing around ,";N
sal for global super-intendant,;N
