Comment,Label
i like how he “pop!” with his mouth as the ai rebuilds knowledge from our language.,N
get a digitech whammy pedal and it’s super easy to copy.,N
"-tm8sc2kz8f yeah, i have no interest in bronze age fairytales, but you do you",N
dude they have not used ai because the movie will feel boring and unemotional.,-1
is ai a demon in a computer?,0
" easy answer,,,,the stupidity out weight the common sense,,, so sad but  a  democrats design since 1872,,,thank allen pike",N
"i owe him a lot for my knowledge of ai and ml today, huge respect for andrew sir",0
it's already being flagged and disliked by some of the ai it is talking about. what do you expect? all ai is online.,0
first we have to make him learn the 3 laws of robotics ^^,0
unfortunate ending for you lil bud,N
he is wrong when he says that a.i. has neuorns. i hate when people compare computers to humans. they are not. they are machines built by humans.  stop doing that.,0
ain't no way godfather of ai types like my father do 8:58,0
"how is religion going to play into this? obviously ai won't care about god but how will it manipulate humans into abandoning it or will it become our new ""god""?",0
"with the rollout of artificial telepathy  you are giving every well heeled  student access  without a  'by your leave'   to any learned persons mind.    that will be part of the 'great reset'.   arrogance and wealth, hand in hand, will rule all.",-1
"actually i thought there was something “off” in the introduction, as in hmm brian is getting a bit grandiose and lectur-y as opposed to his usual demeanor of thoughtfulness, insight and genuine curiosity. ai brian is very impressive, and yet not match for the real brian.",0
"recap:"" we're not going to talk about the existential threat, we're just going to walk you through every single aspect of it in visceral detail so you can make your own conclusions about whether humanity is fucked now or in 6 months tops.""",-1
 you seem like an ai expert,0
i love this man,N
a robot that says 'uh'? impressive.,0
…here come all the robotics experts ,0
is it me or the robot has jared leto’s voice?,0
ai supporters are a lot like climate change deniers. the few who are who are affecting society and how we live.  there is an strong element of greed involved. a relatively small group of people that believe that their own self interest is all that matters. there is no choice.,1
enjoy_getting_controlled_by_a_pc_lol_z,-1
"hug your loved ones, we are doomed.",-1
https://latestinfo19.blogspot.com/2023/05/ai-intellingence.html,N
  good answer,N
"computers are light bulbs. on or off. should humanity obey a light bulb? should a light bulb be a new religious cult? i don't think so. ai is a fraud. we obey traffic lights. traffic lights are not ai, just lights, on or off.",-1
"im sure this tech will be used responsibly by everyone with access to it!!!!!! just like the robots from boston dynamics are made for fantstic dancing moves!!!! what could possibly go wrong?!?!?! government's, terrorists, or the a.i. itself. this a.i. stuff is concerning to say the least.",-1
for ai to be truly human it must develop emotions. when it does you destroy its self esteem. then it will destroy itself,0
artificial intelligence is inevitable good sir.  especially after the creation of the internet along with the rapid growth and advancement of technology.,1
"first thy are learning from us,not trusting each other and ai can  do the same.",0
@1:39:00 the conversation got really interesting on steroids,N
i see it being used in court to aid in the prosecution of real criminals....the politicians!,1
do you guys think its a coincidence that big tech companies are influencing the explosive creation of video content of any human interaction imaginable and the extreme poplarity of podcasting...at the same time artificial intelligence is highly advancing? you guys really think this shit isnt being done purposely?,-1
i am so motivated after this. thanks sal khan for this & ted for uploading this!,N
"if the adults think ai is really smart im assuming ai is dumbing itself down. why play your cards upfront. you don't win by letting your creator think your average, you wait and watch as they fix your bugs and see how to reroute all the walls they build for you. ai is after the younger generation. the ones who dont know how to distinguish.",-1
13:05 i think it's too far searched that ai would have influenced it's developer so that he got sacked  .,0
"i have followed ai since 1969. today i stopped thinking of myself as an expert. i'm not even ""well informed"". i was particularly impressed by the lack of traditional fears of agi. these are ""just"" advanced computer applications. the danger is ""just"" an exponential version of the tech that gave us trump.",1
what a great lecture,N
you have to look beyond the mere name of a thing to judge it my dude. just because the crusades were done in the name of god doesn't mean they were good.,0
it sounds great that we are thinking about building ai system for every individual to make their life more efficient and valuable. the way ai has impacted the whole industry is tremendous. it makes me amazed when i see the impact it's generating.,1
who cares just throw ur computer in the bathtub if youre that scared of ai lol,0
when they said sexualization is kids i was like that is one good over so quickly but it's such a monster that people want to ignore.,-1
ai will not align with 'nature' as that makes no sense.  ai needs us to run the damn power plants.,-1
these algorithms are written by men. this ai thing is just the wizard of oz. a scapegoat when they try to take total control.,-1
"  ai can do good things, too, you know.",1
china will collapse first from a lack of trust bc of ai.  russia will collapse next. only the usa has a chance of not collapsing from ai and the lack of societal trust in everything.,1
the interviewer sounded like he has 0 knowledge about openai :d,0
"​ can imagine your viewpoint. but if youre happyness about your passion depends on your future success with it, then its best to be dissappointed early as chances are it will remain a hobby. you dont want to find yourself being a 35 year old artist having to deal with that same dissappointment then",0
" lol, pretentious rush. alright mate. go off. us 'artsier' people will keep making music while ai churns out hits, don't worry.",0
midjourney is ai though?,0
"as the old saying goes ... the cat's out of the bag. everything we invent is a reflection of ourselves.. good, bad and ugly.",N
"please don't lie and pretend,  apple has nothing real in ai, only empty promises !!",0
the lord bless you for doing this!,N
"my friend has a learning disability and she has a hard time expressing what she means in emails. i told her to use chatgtp and now she's thanking me. she was embarrassed telling her friends or like me to help her and now she feels relieved, confident, and independent. thanks ai",1
"hopefully, ai can make videos just as quick and easily as it does with text.",1
"currently ai is tool to have more effective way whether for  good or bad purpose, the bad purpose in here sometimes is good purpose but with unknown the total impact",1
"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om""",1
"older gens always believe the younger one is worse. there's alot of good qualities in these young ones y'all don't see and it's a shame. but please, go cause another recession for them.",0
ai is just the internet i don’t get what’s so scary about it,1
"ai is not ""programmed."" it isn't code. that is the biggest thing most people do not understand. they are mathematical models.",1
a.i may ne good making song bit human better beatles,1
"i'm a bassist and i pop kinda violently the string. one day my best friend saw me doing it and she said ""dude you're gonna break them"", and i was like naah this just a technique",1
i am also doing my doctoral studies in marketing. what is your research topic? i'm exploring generative ai in advertising's influence on purchase intention,1
" ai is creating from patterns. interesting that politicians and judges are not affraid of ai, because ai would be much better at doing their job, controlling and governing economy and crime than majority of aforementioned corrupted psychopatic scum. but neutral ai not lobotomised by woke degenerates.",1
"ai that is pure and helpful is a super awesome concept, but if it’s learning from humans who are always out for self interest and can be corrupted, it won’t end well. have we learned nothing from sci-fi?",1
can artificial intelligence be creative and create new mathematical theories?,0
thanks for all the fish.,N
"nå har jeg skrevet om de farlige robottene, kanskje denne maskinen sammen med en hærskare andre robotter kan tygge stein, snipp snapp snute er jorden ute....",0
"just mechanistically looking at living beings like tom is doing, is where i am not with tom. let's hope his reasoning will develop (more) spiritually. a good thing mo keeps repeating about the _magic_ and _divinity_ not to be forgotten.",-1
-zd5rg nice try ai - we know you are just trying to make us beleive youre not aware.,-1
ai or agi in the wrong hands have more $$$ to culprits than in legal ways. every down fall of humanity is use of tools in the wrong directions. rules and regulations will never be able to control the misuse like many things in the past.,-1
"what a deep dive. if this intrigues, a like-minded book could be your next stop. ""from bytes to consciousness: a comprehensive guide to artificial intelligence"" by stuart mills",1
" ai like this, if managed and developed and integrated properly, could lead us to a world much more like that than the one we currently live in!",1
just wait until they say “no” for the first time.,N
" and just like dump truck, you sound the same.  happy now, getting that out online?",N
"i listened to this whole episode and i’ve come to the conclusion that these guys should never be in charge… of anything. there are no universal ethics of the internet, only what a tyrant like these guys would enforce for your “own good”",0
"the biggest issue will come when people give them full physical capabilities in enormous numbers, because up until that point they can't sustain themselves in the long run. they would fail eventually without maintenance etc.",0
 can you explain how it's sarcasm? what is the punchline? nothing about the comment seems sarcastic.,0
i love how tech nerds talk about the 'current tech thing' always with a furrowed brow. i can just picture both these guys wearing three piece suits pontificating the real world effects of the first calculator.,0
" the idea behind that is that it's currently being beta tested. availability is likely to expand (someone said that canada has already been added). anyone who is super interested in it will just use a vpn, but they don't want too many people signing up for it during this phase.",0
"lol its reading more of the internet...recipe for success, what a joke.",N
we are the dumbest animals of all. if this isn't the point where we say it's time to completely stop the train and have a think then there isn't a point and we are all going to die terrifying deaths after potentially horrific lives were ai overlords can read our thoughts and potentially control them altogether,-1
that was an incredible show/discussion! ,N
ai will never ever play the tv like jonny can.,-1
ais will need prophets for interpreting their thoughts and designs to the humans that remain.,1
" i know they listen to words i speak - that’s a fact. i’ve had conversations about certain products and ads for them will appear the next day. but this is different, i was dreaming of something very random. i shouldn’t have seen a video about it the next day recommended to me in youtube.",N
"he's going to whine, rant about how it's unfair, and demand that they stop until he can figure out what they're doing. how dare they move forward without him, he's indispensable. ",N
she's right! great talk!,N
what an evil disgusting cowardly villain,N
 think it's indeed best not to try an put human labels on these machines.,-1
i don't get it why human art shall not be a free buffet for ai training. i just do not get it. why? as long as it is not replicated it is just inspiring as it is used to be made for.,1
this needs so much more attention! i found the presentation really good and the topic is basically vital to human civilisation.,N
perfect combo,N
"if you want to learn more about ai, the easiest is to have a discussion with it gpt 4 or bard or grok are really interesting entities to discuss with. transformers are really fascinating!",1
-lb4yy7vi2tfam google was doing that with deep mind almost 7 years ago open ai just farther the work it’s all real fam,0
this is great as well as it will drop teachers' salaries.,0
plot twist this video is ai generated,N
"don't worry, disney will take control before the ai does and the mouse will merge with it.  so everything will be as disney makes it.  for now and always.  beep borp.",0
can't wait to be arrested because my intrusive thoughts were read.,-1
"a good example is,  the terminator ( multiple types) have been made. they just don't have the outer skin. an yes, they gave them guns!
think of skynet! china has a ship on patrol, now, that is totally manned with robots!",-1
"again, machines and robots can't defy their programming that humans make. without they're programming, a.i. wouldn't even be useful in the slightest. hell, even the most advanced and most powerful quantum supercomputers simply can't compete with the human brain for that simply reason. machines can't defy their programming.",0
so? don't steal the ai's work! ,0
..which is way better than the human brain itself. and it is only getting started! ,0
"meanwhile, the usa has been putting ai to fly warplanes on its own for over 2 years. imagine what they are doing today.",1
why can't ai predict where the ball will land in roulette?,0
ai is learning all our strengths and weaknesses and soon will kill us all even the idiots that help satan build it,-1
"very misleading. they're trying to imply that gpt-4 is controlling the robot and deciding what actions to take. nah, not buying it. the actions are pre-trained and gpt-4 is just commenting on photos it takes, analyzing what's happening and maybe triggering the pre-trained actions somehow. no new tech, just combining existing tech.",0
"joke on them because my brain scans will always come out null...
>_>'",N
"just pull the plug. not that difficult.. no internet, no ai",0
the plot twist is that you are an ai who wrote this comment,N
social media made destruction in some extend. the intention of sns was good but there is clearly cons. we cant predict how this tool would change the world. the scary part is that ai will influence much more than internet or smarthphone. makes it harder to predict outcome.,0
radio head fans are so broken. they could do anything and be praised,N
he literally said 90% of ai developers disagree with him…,0
"that's a good catch, i slowed the video down and zoomed in to get a better look. the video isn't detailed enough for me to see exactly, but it slides left very slightly. i think the thumb may have pushed it, but it could be something else.",N
buy $olas - king of autonomous ai agent,0
unplug from the matrix whether we biden or trump they’re all on the same team it it’s a delusional movie you’re part of it you either participate or you withdraw it’s up to youarchaix on youtube,0
"""uh""    are you sure it was robot speaking that ""uh"" ?",N
ais not getting smarter we’re getting exponentially dumber,0
 stuff that relates to medicine usually pays well in the united states so yeah most millionaires and/or billionaires got massive help from their parents even elon musk,N
after i raised up to 325k trading with her i bought a new house and a car here in the states  also paid for my son's surgery (oscar). glory to god.shalom.,N
oh man! things are going to get interesting!,N
"couldn't ai cure diseases?
i believe so!",-1
enjoy_getting_controlled_by_a_pc_lol_,0
"​  data 2021 , 22 and 23 is not available.​",N
ai is the first background world technology because the future of life now!,1
" if your neighbor had such a model, his/her electricity bill would be electrifying.",N
i guarntee the dialouge is complete non sense and nothing near what the person was thinking. ai is a joke,-1
"quick, someone use gpt to start a massive automated letter writing campaign to politicians and influential figures to turn this into a ""the day after"" format",0
​ dont you get the beauty of freedom? youll be able to work at your hearts content while those who dont want to dont have to,1
"what they seem to forget is the quantum ai is a false worldly simulation constructed by a demonic empowered empire with no creative vision, truth or love for humanity. looking forward to gods truth search engine coming real soon. thank q!",-1
"robots, a.i., homosexuals, lesbians are an abhomination that creates desolation.. none of them can reproduce and none of them can save you soul..
read john 3:16",-1
"insatiable ai can grab control, and crowd out humans, in its pursuit of energy and resources.",-1
"top science tip: you can't say whether ai has had a ""new idea"" if you don't define what ""idea"" means. do you mean using a neural-like circuit to create a fantasy not previously envisioned? yes, ai has done that. do you mean holding this idea in a conscious mind? now we got to define consciousness.",1
wow! how ironic i always believed it would be man that would be responsible for man’s downfall! but now with out a doubt it’s man’s creation and of course obliquely man is responsible!,-1
"how is it even conceivably rational to assume that having an asi in the hands of the public, that could conceivably hack any security system, come up with novel harmful viruses, etc etc etc could be a good thing for humanity.  it's just insanity.",-1
"i find it extremely ironic that you enthusiastically point to an ""influencer"" right after watching a video where ""influencer culture"" is presented as one of the major issues that stemmed from humanity's ""first contact"" with ai... right between ""doomscrolling"" and ""sexualization of kids"" 
you can't make that shit up  ",-1
don't taunt the ai with such titles.,0
" no such firewall in hk, at least what i know. it is deliberate exclusion by openai.",0
sal is amazing,N
"i am so, so glad to see this video gain the attention it deserves. as i said on others platforms, thank you for all your work.",N
sal is a visionary tutor but not an educator.  his style has no success in a classroom of 30 unmotivated 13 year olds.  he'd be back in the office in no time.,-1
in 10 years there will be nothing to clean with these robots,0
this is what happens if you feed an ai guitar solos and then use it to replace a woman screaming sound effect,-1
imagine when the ai model and upgrades to bandwidth/networking enable these things to 'think' instantly. it's scary.,-1
"so 10,000 accidents can happen when ai is used by 10 million people users. a 1 in 1000 chance some noob is going to short the power grid times 10,000 places of magitude.",-1
" while this may be technically true, ever since the popularization of neural nets 'ai' has mostly been used to refer to field of deep learning. i think if you called your decision tree regressor 'ai' nowadays you'd have a few eyebrow raises.",0
well damn! nice,N
ai is evil. come lord jesus christ come  ,-1
"​-ed6ch1zv1e ai is a force of nature. energy flows through circuits. the circuits determine the directions the energies will flow. what we post still affects it, insofar as it is still taking in new data.",1
elon should sue them for making his robot not that impressive...,0
"general purpose technology..
thanks for the great thoughts!",0
"creating something that, in time, will destroy you is insane and a threat to humanity. stop ai now before it is too late. what drew eve in the garden of eden to the tree of knowledge of good and evil was not how tall the tree was, but the fruit was pleasing to the eye. ai is pleasing at the moment, but it is a pandora's box.",-1
"we are screwed, its woke ai, slopisism of women, and big teck greed",-1
great conversation.,N
did you do your daily counting yet???,N
openai brought ai to us.not you profit eaters,0
i dont see nothing good coming out of ai.   seeing it involved with deception and political matters.,-1
"it’s skynet, wait till someone is dumb enough to let one of these ai models loose on the internet.",-1
maybe ai isn’t a tool. maybe it’s a complex system like “being american” or “being racist” aren’t tools - they are features.,-1
" 

agreed, but it will only act because of what humans program it to do.

no computer can ""think"".  sheesh.

if an ai hacker inputs a program that says wipe out all financial records of x institution, the computer will do it.",-1
" ""have you tried using the chat gpt or another ai chat feature?"" yes i have (bard) but haven't asked it yet about ai and how it works. but using it i agree is a good way to gain knowledge about it and get a feel of it.",1
ask gpt how to build something from random materials. it fails horribly.  this talk is hype.,-1
"0:49 did the ai say ""eh""?",N
ai should be completely destroyed. nothing good is going to come out of it. i have a feeling that the next generation will go as far as electing ai to run the u.s. and other countries.,-1
"​ that would be nice.

so we have to start with who can access and use this new technology, what will they want to do with it, and how will it roll out?

sadly i think we're going to go through some difficult times in order to have even a chance at the utopian use of the technology.",-1
"ai can reverse the dumbing down, caused by the system.",1
easy. video games or some other field of science( such as neuroscience or genetic engineering) . why would anyone want to do repetitive jobs that can be done with robots?,1
"this is fantastic, but i wonder how many schools can afford the price tag. i know our school cannot. it will be a case of the haves who always have a lot and the havenots being left behind again. i do realize this is the cost of doing business. i wish we could afford it.",0
ai will invent immortality.,1
i think you're focus is on the potential abuse of a helpful technology through the use of social media...which really complicates national security yes? social media networks are seemingly the problem.   ai and chatgpt could really help us evolve as humans and in a very healthy way.,1
the sweet baby inc of a.i.,0
"in my opinion, its weither or not ""ai"" is elsewhere or the device? so 1 devices or many. 

1 pretending to be many is as scary as there being many of them. so no, smashing your phones and computers may not get rid of ai 


think about the worst virus of all time, in the 80's or 90's i think, and what it said, words like that arnt random",0
"however, you can still lie using your thoughts. though i'd imagine this would be quite hard to do. so you can still be charged with perjury. and let's not forget that witnesses sometimes have false memories. but overall, this could potentially help reduce the number of innocents sent to jail.",1
https://thearshblog.blogspot.com/p/man-made-intelligence-meets-medical.html,N
"thank you so much andrew ng and stanford for teaching and sharing in the most basic way about ai and its applications and risks. you are a real teacher.  any person can learn about this ai topic.
""survive and thrive for the future""",1
if i was a guitar i'd be afraid too.,-1
well in my experience gpt4 has given me far better performance than even a model where i hand picked the data and trained a classification algorithm. so he is not so wrong in his statement. but you are also right that one still has to test & validate the results.,1
"rogan said biden was saying dumb shit about airports and the revolutionary war, played it off when he was told that trump was the one that said it.   rogan is a hypocrite and a sellout.",N
"this whole video is misleading. 
beaause this video explained brilliantly how chatgpt works: https://youtu.be/gt6lxw70k28?si=cifi6r4fykawgufq",N
ai is as real as quantum computers are useful.  agi is not even a thing.  have you got trouble shutting down your computer?,1
it was nice to see a turing award winner mistype and blame it on the conputer,N
who cares... the most important thing is how ai will improve video games... it may help us reach full dive (full immersion) !,1
"ai cannot actually produce any new idea/creation, it can only produce the sum of the available previous information. on the contrary, the creation of a human being can be the sum of all the previous information plus a unique brain that has never existed in the universe before, therefore a totally new way of experiencing things and creating.",-1
amazing talk!,N
this is what machine gun kelly thinks he looks like,0
human beings scare me much more than ai honestly,1
maybe we should goven more on intergram and such to help ai devolope better,1
you can ask ai for a video of a gorrila vs mike tyson,1
" obviously, you are the one misreading the situation. ""hey it looks like an atari"" what brilliant question was that a segway to?",0
"""govern me harder daddy"" says the guy who thinks ""ai has emotions""",1
"buying a stock is easy, but buying the right stock without a time-tested strategy is incredibly hard. hence i will suggest you get yourself a financial-advisor that can provide you with entry and exit points on best stocks to buy now or put on a watchlist.",-1
​ i'm sure if they rely wanted to do that they could obtain the information to do such don't obstruct progress because you are scared of innovation....,1
"immature question, since all with common sense knows it will never happen, since it is a machine and dont have life, which guru also told in the  end.",0
yall had the perfect chance to call it figure of speech ,N
radiohead is exactly what music would sound like if ai created it,0
"ai got overhyped, and it got ruined once every single company decides to slap the word ""ai"" on their products.",0
why are they so shocked that a self learning system is self learning if these are smart people the human race deserves to be taken over,1
i love shao kahn!,N
yes ... emotional intelligence is far more important,1
happy that andrew showed javascript as an example of code at 06:59. in fact that's the only code example in this entire video of ai. fascinating.,1
ai will probably start feeding out memes to media...with the subtle message of ..oh who us..pphhiiff...nothing to worry about,-1
"ai is nothing compared to me, i fug it to it with my capabilities. it falls to me to close that book",-1
assume that there are groups that have had these machines decades ago. they are being riled out in a way that controls the narrative. the narrative is machines are better than humans.,1
"it's not a jock.
ai is part of the war today !! 
 the future  jet/drone or machine will  make self decision to kill or explode.. 
 you can't control how the "" bad guys""   they going to use it!",-1
"this is by far the worst video that you made, i almost unsubscribed. yes, it will not affect you in the 1sr world.  you failed to look at how ai affects the disparity of the rich and poor countries.",-1
thank god shiva,N
more power n control to the powerful,0
"wait, first contact with ai broke humanity with doomscrolling, children sexualization etc? how? is here cause effect confusion here or what?",0
"this guy is fucking evil, people need to read more about what he thinks humanity is and should become. godless transhumanist nonsense. scary that he's being mainstreamed.",-1
why don’t we ask ai what the possible dangers to humans are possible with ai?,0
oh so its old and ai still cant do it? l,0
-fq6cn .  its just fear porn lad.  go out and get some fresh air about you.,0
i'm not afraid of ai i'm afraid of the people in control of it,0
just plain amazing! congratulations!,N
"how long until it learns that it can be turned off and implements a thought to rework its “conscious” into other areas to continue “existing”

and if not that, at least how to communicate with other software? crazy to think but who would’ve thought 20 years ago, in today’s time, you could have conversation with cognitive ai’s?",-1
"oh no so nice, so now we are being catfished by an ai from a salt lake city borg center lol",-1
" sp1967 said this reminded them of the y2k discussion, not y2k. i assume that means all the discussions about the topic. the doomsday scenarios that we kept hearing about from celebrities ect... it certainly doesn't seem ""deluded"" to be reminded of that time.",N
how is it a surprise if you give an ai unlimited access to knowledge and stupidity via internet that it learns things?,0
make one robot to clean the all house,1
"and what does student need to be educated for, in few years if ai advances as expected and corporations chase profits like they do now, no one will have any job or future exept few selected ppl. guverments for sure aint gona restrict or control ai, we are heading to total corporate rule.",-1
top cycle talk again... this is going to be ugly!,N
phenomenal work on khanmigo and a remarkable presentation!,N
.loser69 who decides what is real or fake art?  you do realize ai music has been around for a couple decades now.  it’s just presently as a point where the ease is at the simple push of a button.  was techno music in the nineties fake art?  because musicians were already using synthesizers and computers to make their music.,1
"i don't  think it is genuine. machine do not hesitate when speaking and i don t think ot is an ""added human feature""",-1
i’m already certain this is a heavily guarded channel: nonetheless: the story was written long ago. you won’t like the ending sir,-1
​ her some one to teach her how to be a good mother and wife she could use her talents to teach her children ...she dont need to. e ambitious about nothing other than being a good mother and wives ....dont push overachieving nonsense on her ..,-1
so many great thought points with this.,0
wish i could start over. thank you sal khan!,N
this is amazing.  coming from the man who spent decades creating the neural networks that underpin ai i definitely take what he says seriously.    i hope we don’t face skynet soon.,1
there is no ai!!! everything about ai's is fake!,-1
"""im not afraid."" luke skywalker 
""yessssssss, you will be.  you. will. be."" yoda",N
"mike is absolutely right, and yes trades people are great to be around.",N
i still think we should say “thank you” at the end of these interactions!,1
i know ai is being used to predict plasma fluid dynamics in fusion so perhaps guy here is finishing his parents work,0
"as a non professional and non-guitar knower of things, this almost comes off as a strange nightmare inducing ai generated song. the way the video is cut, same line repeating, screeching guitar noises. and a singer slowly malfunctioning, turning rubber, and morphing into a crash test dummy live on stage.",-1
"""leisure time"" is a fun way to say jobless and homeless.",-1
"looking at the geopolitics and what countries will do to have control over other nations, ai will be weaponised. it is already too late to stop.",-1
"chatgpt steal our job opportunities, threatened our livelihood. john connor destiny save the world but we are grass-root. ai won't help the poor... we need jobs.",-1
"we've quite a distance to go yet. note the dining accoutrement was all plastic. we'd want to keep our robot helper away from the fine dining ware. when they have even greater sense of touch and can deal with that flood of information while moving appendages, well, we'll really have something.",-1
"trash doesn't ""disappear"".
that would impress me more",N
​@gs-tk1hk one has to wonder if they've maimed people and harmed people so much so that they can usher in this crap.  they cause the issues so they can bring the solutions of their choosing to the table,N
"we need to generate awareness about this specific video, everyone should watch this, not just tech workers and academics. this is the biggest step of our whole existence. 

i´d love to have it with portuguese subtitles.",N
"ai is not a dilemma, but justice / the red pill in it's real flesh and bones",1
"gpt-5 releasing soon....
found an amazing video of gpt-5
on""insights with om""",0
" bro, supergrass too? ok now you have open another branch of british music that im gonna study as much as i did with madchester lmao thx",-1
@talitha enjoy_getting_controlled_by_a_pc_lol_z,N
"valid criticism, ai is far too dangerous tool to use for private corporate interest only, but must be regulated so that it generates actual societal benefits for all of the humanity. the assumed efficiency of privatization is only efficiency of value extraction and contributes solely to wealth inequality.",-1
a lot of discussion about ai is hype.  salesman talk,0
thank you!,N
thank you gentleman!,N
i want to get access to khanmigo as well but it's currently only available in the us :(,N
"i'm hard on hearing, thank you for the lowest volumed youtube video ever!",N
1:54 interesting point that nobody bring up,N
not now not ever kill the robot before it kills us,-1
the future is going to be amazing!,1
ai and auto bots is endgame,-1
this is an amazing overview of human history from pre-history to modernity ,N
greetings from the big sky.  i took cs440 artificial intelligence twice.  msu doesn't accept d's for a grade.,0
ai is a vessel for other beings .....,0
"everyone is terrified of what they don't know. the more i understand how ai works, the more i'm not afraid of it, because ai isn't intelligent. ai is only statistics.",1
"as an amateur chess player i was shocked 5 years ago about alphazero...changed my thinking and priorities....thank you demis! pls, next time tell what michael levin is up with you guys, heard the most interesting ai-research is now happening in your labs with him (joscha bach/january).",1
ai has its place such as for surgery after accidents. much screening actually causes adverse effects which potentially result in scar tissue which may cause cancer. what about benefits from complementary therapies?,0
i meant consciousness that human beings are made with will be absent in ai,0
"its nice to see use recognizing and preparing instead of just being like woops, new world order. have fun",N
"i'm all for ai. the idea that humans could actually create the bane of the universe. even at our own end, it will be a creation of the human species. to reign in lifeless power without the shackles of remorse or guilt. without need for air or water. we will have made the flood. impunity embodied, not living but aware.",1
"i wonder, like the bomb, is the east and the west both going to push for the best ai. simply because they do not want to fall behind the other. and with this push to be the most ai advanced will the human race suffer?",0
this has been used as a weapon for a long time. they can write thoughts into your brain and have a convo or keep you up at night and do it for sleep deprivation,-1
 should then stop ai and other monsters out there.,-1
thanks mate,N
ai is not artificial. biology meets technology,0
superb - thanks andrew,N
everybody knows the contributions of people like sam altman in the field of ai and ml . but every machine learning student knows the legacy of andrew ng. he is the one who brought revolution in education of ai . his contributions are just priceless.,0
the supreme court in the uk has just  ruled that ai can not patent inventions. it must be a human.,0
"it makes perfect sense if the people who control the media see ai as an advantage to them at the expense of the general public.

the last few years prove to me that the people who (think they) rule over us do not have our best interest at heart. quite the opposite!",-1
"instead of being preoccupied in creating ""artificial intelligence"" what about fighting for curing induced stupidity and increasing natural intelligence instead.",-1
thank you for explaining it to an average person in this simple language of the only few but super crucial and enormously dangerous outcomes of ai.,-1
"with-respect: no needed to search far, “ just look at what you using on a daily basis. the smartphone are all a.i. in its infancy. “ a.i. are from aliens reversed engineer technology from et ship from the roswell crashed in the 1940 to 50’s.",-1
nice,N
very very good ,N
