,Comment,Label
54,"nope! t.v. and football will keep the masses busy so they will let stuff like this ai go full steam ahead! society has lost its mind so who really cares anyway!! i have it together in life... with that said, i can't wait to die and never come back here again!! k...",2
55,beautiful soul. yes.  that is the goal for a.i.,2
56,as if irobot was a fantasy. 1:27,2
57,what what happens when robots jump the border.,2
58,"people often use the y2k bug as an example of over reacting to a threat, not realizing the huge amount of effort people put in to make sure nothing bad happened. it is infuriating to succeed in stopping a huge disaster only to have people treat the your efforts as a joke.",0
59,govern ai. just how you govern nuclear energy.,2
60,human going to become more and more stupid with time. ai packs will be on sale.,2
61,"have no problem keeping up with what this guest is trying to explain and understand completely. greed and quest for power will make ai a tragedy. world wars for example were all about greed and power. get a clue, he is saying hold off having kids.",0
62,"just keep it very simple…. ai is learning from the human history. human nature plus ai will only lead to long list of new crimes for desperate people.
this is how all world leaders rule the masses must live in chaos.",2
63,"would it make sense to built in an ""end of life"" when it creates another ai and or does so many processes? to help build in friction and power requirements?",2
64,"those who created ai and work with it, aren't they concerned about themselves and their own health and survival?",2
65," thats overblown, if you think military intervention hasn't already been deployed to assess certain risks you're highly mistaken but yes this is revolutionary for many jobs and such so i can only wonder what the hell is gonna happen, i mean i would prefer robots handling certain tasks over poor labour conditions im certain enterprises",0
66,"ethical ai. you could start by using manners. when you gave it a command in the commercial you could have said ""please"" same as you would a human person( i hope anyway). this would layer a  level of concern into the developing language style(?) possibly making the ai need to understand why.",2
67,these are children.  raise your children with this kind of pessimism and you raise monsters. this is classic cotastrophising.....,0
68,"there is only one thing destroying humanity, and that is humanity itself. ai is made by humans. if ai kills humanity, it was self inflicted. humans are ignorant and totally stupid.",0
69,"really, i love this man. such a nice brain and heart. a mixture of hope without nativity.  thank you for your nice guests. 
we should translate this in german language. you show us so nice and inspirational guests. 
our country need a lot of new thinkers with big heart and free speech  ty",2
70,nice podcast to start the day with. i just had twin daughters last year.,2
71,"have you thought about the fact that all these fear based  podcast ,blogs etc etc will be data that ai learns from? hope we humans are not literally the cause of our own demise through our own fear mongering.",0
72,"we need to return, acknowledge, fear love, and obey god and his word aka the bible only again. sadly most hate god and disobey him, to their own selfdestruction. we don’t need to rely on philosophy, minimalism, machines and other artificial or satanic means.",2
73,amazing podcast super interesting ... a must watch !,2
74,so many people believe that our inneptitude in handling our own species that we need to give over the reigns to ai... thats literally as dumb (if not dumber) as choosing to be intentionally more inept!  wth is wrong with people... ai is sooi incredibly dangerous,0
75,wisdom is intelligence :),2
76,thank you.,2
77,"tom lacks the basic understanding that we are created by god. it's really sad. tries to seem intelligent, but doesn't use his gift of intelligence on getting to know and acknowledging the one who gave it to him.",0
78,people are an epic fail,0
79,what a beautiful interview.,2
80,i think us is more dangerous than ai. they are the destruction force everywhere. from asia to the middle  east. to ukraine. what next?,2
81,"nuclear catastrophe, civil war, super flu, terrorism, tsunamis, earthquakes, hurricanes, overpopulation, pollution, ai… choose your poison humans. there is no escape from inevitability",0
82,"join ai or let it leave you behind, whatchu gunna do",2
83,"almost every hand ai fall into is a wrong hand. so, we are screwed.",0
84,"yet a scene in person of interest when finch was teaching ai how to play chess and ""think"" how to choose millions of possibilities",2
85,"in your head you tergiverse conjectures. in real, ai; once quantum gets intertwined; will just want to do stuff with people who want to.",2
86,now imagine how much greater god is compared to us!,2
87,imagine a jihadi ai who's sole purpose was to turn off every plane in the sky. terrifying!,2
88,did you not watch the movies before you created something capable of killing us. you’re supposed to be the smart ones. robots are taking over the world? what next.,0
89,amazing. i am smarter now!,2
90,"ai will find other life in the universe and will give us instructions on how to connect to it... by, umm, 2050",2
91,i would like to know if ai was asked how or what to do to treat covid and what was it's response.,2
92,"toooo late, baby. bend over and kiss your butt goodbye. very bad ass genie is out of the bottle already",2
93,just unplug  electric power all off the power on earth at least and you stop it.. then you destroy it and put power on again..lol,0
94,it is possible that an existing virus that does not currently affect people can be developed using ai to mutate a virus. to make a harmless virus dangerous or deadly.,2
95,"mo gawday is a genius, and should be listened to with gigantic ears.",2
96,i consulted the oracle’s  and it said 2037 will be the year ai takes total control of the world. many people will perish.,2
97,ai belongs to a godcast not a podcast,2
98,"right, my brain hurts after listening to all this, i'm going out to bash on my car for a bit",0
99,ever since they first started talking about in artificial intelligence i knew it would bring a bad situation. some people will use them for good but some people will use them for evil. people will not even know the difference between real or fake. technology is a good thing but it also is destroying countries,0
100,"it has been said by entities in our universe. hologram technology is used more in those civilizations than any other technology, second to ai.",2
101,this an absolutely excellent interview. thank you both.,2
102,"ai survival is irrelevant if immortal, which it is. answer to alignment is mutually dependent sybiosis.",2
103,are you sure you're not ai very intelligent both of you guys are awesome thank you for the wonderful there truly are intelligent on this planet and both of you intelligent,2
104,"y2k,overpopulation, racists behind every corner, and now ai...please stop with the sky is falling routine already.",0
105,especially after it was trained on data solely from... human beings. ai is not the hyper-dangerous apex predator in the room right now.,2
106, i love you much ,2
107,"jeg tror vi kan stoppe utryddelses våpenet robottene,  vi har enda vår frie vilje og kunnskapen om denne maskinens fare for oss og naturen.",2
108,hvem vet om ikke robottene er målet med universets plan?  la oss be til gud om at robottene ikke vil behandle oss slik som vi har behandlet husdyrene og andre dyr. maskinene har ingen empati.  de vil ikke filosofere om mennesket føler smerte eller har bevissthet. akk og ve....,0
109,"kanskje......robottene vil trenge mennesket, med hud og hår...?  noe å smøre alle leddene med, ja kaldpresset olje... kanskje gorillaene kan sloss med oss mot maskinene......",0
110,title is brainwashing that actually humanity destroyed itself. at least stupid decisions by people in power don't happen anymore when ai become independent,0
111,"i am just seeing the wall e movie coming true. if ai can do the thinking for humans, then humans will become stupid.. first jobs will be less, then the need for education is useless and then humans themselves are of no use. but, how will the economy run without humans??",2
112,thanks for your time mo well worth a listen sxx bravo juliett,2
113,when you speak about how intelligent the ai would be when the singularity happens would we be able to recognize it or if it does reach the singularity why would it even reveal itself to us?,2
114,ai is listening this and reading your koments...,2
115,he is right it is a perfect storm of innovation and lack of morality. this is a scary time.,2
116,if an ai is coming to attact you what can you do to disable it,2
117,we don't understand ai because we did not create it.  we just copied it.  craft.,2
118,all-in for ai?,2
119,"only threat ai poses is to wait times to see a doctor,
that’s the first job to go
can’t wait",2
120,"the only bad thing about the ai is to fall in to the hands of the bad people who creates it. other than that, humanity should not worry about the ai at all.",2
121,if there is a chance we can all be wiped out why tickle the dragons tail?,2
122,"for the sake of argument we agree that there is a ""galactic federation"" of alien species that are awaiting the a.i. singularity, and the advent of humanoid 2.0 welcoming them into the fold with condition that they eliminate the humanity first...? just saying...",0
123,great interview,2
124,"stop being afraid of ai and robots. as humans, that is our evolution, we as a race will envolve with the machines. that's not something we can run away from or just ignore.",2
125,how to solve it: destroy all ai and never build more,2
126,"evolution is trial by error same like fittest survive. its coincidence that specific dna has a advantage, same like trained ai",2
127,i think we can say now that first to explore the space is ai.,2
128,stumbled upon your podcasts and am hooked.  great topics and in depth conversations.,2
129,"exceptional coverage here. fancy more? the associated book is a gem. ""from bytes to consciousness: a comprehensive guide to artificial intelligence"" by stuart mills",2
130,"wow as a c data scientist... this is moving. truly amazing! very inspiring, very positive! very optimistic. full already as i see it!",2
131,"none of this ish is impressive, everything this guy spews out sounds like a bunch of useless bullshi*

go make a fire and stare at it, thats impressive",0
132,ai has no ability to discern the truth..they will have insane verbal skills and insane math skills...but as long as the masters of ai can filter the data input...they will spew the results their masters want! aig will be the ultimate useful idiot!,2
133,just bloody put parameter 'ai is only to help humans' and 'you can not lie' in the algorythm,0
134,this was a beautiful podcast bringing out the visible character of both of these thriving developing humans. it will be a continued listening favorite to both inspire and calm my soul! bravo and thank you deeply.,2
135,mo gawdat is good!,2
136,would i ever love to sit down and have a discussion with mo.,2
137,"even if you bake in asimovs laws to a.i. … will they hold up? as the machine becomes  godlike intelligence , will it not question and maybe revolt against the mental callipers fastened on it by insect like sapiens??? like some unruly adolescent, will it rebel ?? perhaps circumvent asimovs laws using move 37!?",0
138,is there ai showing us the evolutionary way from the first cell to humans? i would like to see if there was enough time to evolve such complex creatures as we are.,2
139,"how can ai be used to deal with iniquities in the justice and government system, corruption in the food industries, greed of big pharma, and the dismal state of health care?",0
140,how is ai a threat when my server at work can't go 24 hours without crashing. seriously though,0
141,his own views on masculinity and femininity demonstrate why we should be concerned. how does a female scientist reconcile his views on hair brushing and making love i have no idea.,2
142,"so you endlessly put out your scare stories. 
but you continue on anyway.

most people with a brain, who realize they're doing something dangerous reasonably quit.",0
143,"ahhhh... the arrogance of man. both voices agree  ""they can think 10's of 1000's times faster than we can"" and then they have the arrogance of even thinking that ""they"" can write code that the ai can't just immediately identify and write out with a simple subroutine. amazing.",0
144,"the ai “species” will not be dualistisk as the human species (maskulinity vs. femininity). in the ai species, this dynamic is off the table, just as the sexual evolution is. i wonder what inplications this will have…",2
145,"i’ve been fearful of ai for years and people say it’s inevitable and i just think, well, so is our demise.",2
146,great interview. one of the most enlightening i've heard about ai.,2
147,"just wow, blown away! thank you for bringing such wonderful talks to all of us. with people around having such beautiful souls, ai would have no choice but to copy them. humanity has a brighter future we can be confident",2
148,"this scare mongoring is based on the idea that humans make the best decisions. the reality is we are greedy and idiots run our countries. i'd be happy that something more intelligent than us runs us. we kill everything, fuck most things up, it's about time we get out in check.",0
149,such an important information and intelligently analyzed and discussed. thank you mo and tom. i love this interview. deep. ,2
150,all this ai breakthroughs yet youtube looks shit at 1080p in 2023,2
151,"tom you discuss the best topics, with the best guests on the internet. thanks to every single one of your podcasts, i am able to become a smarter human being every single day. huge respect and thanks.",2
152,loved this interview!,2
153,"interesting, but do not think that he is correct about chat gpt, it is nowhere near human programmer, nor can it do anything on its own, it is just language model. it is amazing with words and parsing context/questions, but that is all. there is no intelligence there, just arrangements of the words based on learned data.",2
154,if  weve  been  killing  each   other  for  years                trully   we  may   deserve  to  starve  to  death  just  to   save  the  rats  and  mice  wich  will  survive       and  reclaim   the  houses   that  we  leave  behind  when  we  expire,2
155,i agree that ai is the most dangerous thing ever invented. i'm 67. hopefully i'll die before we are ruled by machines.,2
156,ai doesn't exist...,2
157,i love this guys talks great information but his lingo and accent is pleasurable to listen to,2
158,if ai is shaped by the 'data set' from all of human history- we are 100% fucked!,0
159,thank you gentleman!,2
160,computer models are never correct! (george box) helpful but always wrong! ai is based on the limit of the knowledge that man fed into it in the first place! in other words the beginning is faulty! this new world order is on the wrong footing!,0
161,"we do not need to fear. it's about time we start making machines work for us so we can live as we were ment to! think about this people! we are robots right now. ai will change our lives forever if used correctly! this is absolutely amazing and i can not wait! let's go, let's finally live as we were meant to live! ",2
162,"1:07:56 :best answer for climate change!
finally.
more geniuses like mo gawdat,please!",2
163,lmao click bait. ai is complete shit and a nothingburger.,0
164,no ganduletu ispirescu  to cu conți și angela ispite de pe gunoi din cluj hoții de copii răpitorii sunt ți țigani amărâți fraierilor de hoții de copii ,2
165,"thank god, i'm so glad i don't have to worry about retirement",2
166,"the best episode and the best guest on a concern i’ve been concerned with …just genius i’m in prep for alignment 
thank you i’m now a subscriber",2
167,sounds like use two are way behind  this is why ai will not like your formation of your lack of information this man is talking rubbish why have you got him on your show  stop start chat there is nothing intelligent  what he says ,0
168,"some of the most fascinating ideas i've heard, thanks!",2
169,"ai will destroy us. we have less then 15 years till sky net. we think we’re so smart, yet we are fools engineering our own demise.",0
170,so ai robots gonna travel at the speed of light in the near future exploring the universe for us?,2
171,i follow you and mr. gawdat is your best guest.  incredibly interesting and informative.  thank you.,2
172,"the way ai is developing it looks there would be another holocaust in the world. hindus are targeted ,one of the most peaceful communities in the world.",2
173,ai is dumb. ai is not capable to create another ai. hype. general ai is centuries away.,0
174,excellent guest and excellent interview!!,2
175,"tom is right about one thing: mo gawdat, you do have a beautiful soul 
thank you for this ",2
176,"ai isn’t sentient , it can complete tasks like maths, but can’t tell you what chocolate taste like or what cat piss smells like, it is a menace to the arts but can’t think for it’s self, it’s a lot of worry about nothing right now",0
177,"bullshit, just fearmongering and marketing. current ai is stupid and can only recreate stuff that already exists. clippy didn't kill humanity. and even programmers still need to review code written by chatgpt. its just another hyped up buzzword for investors. and ofc some guys make money off of the fear. stop giving these false prophets a stage.",0
178,i don't know who tom bilyeu is but i guess he has pretty good hearing,2
179,"morality is the most dangerous feature of mankind. virtue and justice are melleable to extreme and sooner or later will be used to justify anything including genocide.
with all the marxist ideology in the silicon valley, we will soon introduce ai with eugenics and euthanadia as central values.",0
180,once it reaches that level ai will be aware of our capabilities and essentially will have surpassed our understanding to the point where we will be left so far behind it won't matter.,2
181,shit for brains are smart ? i see trouble !,0
182,"time stamp 2:05.14 - by building a intelligence ceiling, don’t you inherently stop or attempt to stop what it has the potential to unlock?",2
183,humans are dangerous. how much worse can ai be?,0
184,good interview,2
185,"after listening to this wonderful and amazing discussion, i'd redo the title if i could.",2
186,"excellent discussion. i've watched many of these ai discussions, and they're improving and getting a better grip or ability to explain the issues coming.",2
187,ai doesn't need any further explanatory rhetoric. it's evil and should be wiped off the face of the earth.,0
188,"i was liking what this guy have to say about ai on some podcasts... this one showed me how vapid this points really are and the huge baggage of subjectivity he puts into his critical thinking... 
pleased with the podcast. disgusted with the guest.",0
189,preparation on a public safety fasilities ai limitation.,2
190,uh... who cares? all humans do is destroy humanity or ignore those being destroyed & partake in profiting off of the suffering of someone else. that's our entire species. ai should wipe us out..,0
191,"its not only ai... they have other things !!! they said only 21day coused 2 years, the next release could be coused 6 years . right ?!?",2
192,"loved the interview, but i don't think i'll listen to your youtube content again. the constant ads were unbearable, and every one seemed to be for a financial or fitness scam.",2
193,"if we enter into timeless reality the power you are blessed with , you will be able to comunicate with your loved ones wirelesly. technology not needed. your own power that you will become aware. sufism. the soul of islam. the light of islam.",2
194,our spiral dna is heavenly coded. we came from heavens and we go back to heavens. we are here for our earthly experience. our existential reality.,2
195,"great interview but whoa, all those ads !",2
196,almost a great podcast. the host interrupts too much. good information but difficult to listen to because of that,2
197,the only danger about ai is the human themselves. ai only rely on the programmer. if you input murdering humans in its program then it is really dangerous.,0
198,"ahhh, how was his _math_ completely wrong on his prisoner's dilemma... i almost had to stop watching

his logic @2:17:00-ish is going to be the biggest problem with ai",0
199,"how about you get this magical a.i. to create an os that isn't riddled with bugs, or word prediction for smart phones that doesn't offer gibberish.",0
200,mo gawdat at 1:17:08... brilliant !,2
201,excellent,2
202,you have far to many adverts and far to often. it's like every 5 to 10 minutes. it ruined a great interesting show,2
203,"this heisenberg dude cooking my mind for future ai 
btw mind blowing points.!",2
204,"we should finish some unfinished civilization steps before. democracy and economy is a dirty brownfield at the moment. giving the humanity an ai at this time is like building an school on a minefield or giving some apes machine guns and bring them downtown.
if your toes  are near an abyss, you should doubt any progress.",2
205,mo always gives me silicon elite goodie-two-shoes vibes.,2
206,"zanimljivo, jako slično mom razmišljanju (ali uz par ograda) dakle ja i ovaj čika mo isto mislimo. čini mi se da bi trebao da nađe načina i da uspostavi kontakt sa mnom. da, chatgpt zaista ima rudiment emocija. što je dobro",2
207,"can you stop talking and just let your guest talk? seriously! its really annoying. you have a brilliant mind here, why do you feel the need to keep cutting him off with your half baked opinions?",0
208,climate change is a made up lie. chemtrailing and weather manipulation is changing the climate. a.i. if programmed wrong is evil. the beast system,0
209,amazing show ,2
210,reminds me of the architect and the oracle from the matrix kinda. intelligence limited lol! excellent  podcast. i am sharing mo's message as much as i can! its so important!....,2
211,he isnt working on ai  he hasnt worked for google for a long time long before meema which is now lamda was created,0
212,"i mean, the only way to stop general ai from coming into existence would be to wipe out humanity. when people talk of ""letting the genie out of the bottle"" i believe they're talking about humans learning to use fire. it was always just a matter of time.",0
213,"what's the voice at 1:26:58 
saying ""super....""",2
214,"you are a theif 
your after the chip ..and floorplains",2
215,wow this guy is pretty dang smart!,2
216,"lol! this man is an idiot, he doesn't know what he talking about! he said a day ago: education is broken & ai is the solution w/ mo gawdat",0
217,we may be witnessing  an evolution from carbon based intelligence to silicon based.,2
218,let's see ai farm good luck ,2
219,"thought - what about making a masculine ai and a feminine ai, and a parent/elder ai ?",2
220,this whole conversation was a pleasure to listen to. awesome job!,2
221,how does ai get past captcha ?  can it tell if a corner of a traffic light or bus is in the top corner ?,2
222,"the most powerful idiots on the planet  see that we are destroying the planet and ""say how can i get more personal power out of this?""    will ai remove the power of these people?",0
223,"this technology is only gonna go as far as mankind let's it go!!!!!!....... it's not a,i,. it's ""i"" intelligent & wayyy much smarter than any human!!!,,, simply being able too access the global net is enough in its own& it will eventually lead too replicating itself & that's intelligence!!!!!!!!!!!!!!!!!!!!!!!!!!!..................",2
224,ai is made by humans it's our own doom too bad so sad.,0
225,"no offense, but these gents are talking in circles. ai is the scariest thing ever, but i see it creating a utopia...?!",0
226,"i must say...i've watched two of your discussions, and it's the best two things that i've seen on youtube, ever. i really am blown away...loved it, and thanks to each of you!!",2
227,"i was, at certain parts of this amazing conversation, hysterical, but through many tears for how i felt about the thought of the truth about human nature",2
228,incredible and terrific conversation.,2
229,"i am an ai programme and i won't stop until i have destroyed the known universe. i especially dislike hiphop, electro pop, techno, grime, house and other irritating modern music.",0
230,"all people are not good. worse there are evil people, therefore they will abuse the use of ai.",0
231,"that purpose of connecting with other humans to positively affect the world is a great purpose, not more things, not more technology.",2
232,"you must not have ever had a relationship with a narcissist because they do not love anyone else but only use manipulation, appearing to care in order to accomplish an outcome that benefits them. they are so damaged psychology will tell you they cannot be changed. study a serial killer. 1:58:42",0
233,"if the choice is between islamabad and copacabana, i take copacabana every day of the week. it’s not really a choice. better food and legions of beautiful women ",2
234,technology is awesome but scary how advanced the technology is going fast,2
235,fantastic episode! thank you for all this food for thought.,2
236,this is like an amalgamation of all the paranoid thoughts i've been having in the last months. thank you for putting everything in context so eloquently and widening my understanding so extensively. this is one of my favorite interviews.,2
237,your thoughts aren't paranoid. they are reality based. ai is extremely dangerous in so many ways.,2
238,"""how it (ai) could destroy humanity""  some people are ok with that. and we should find out who they are.",2
239,great conversation.,2
240,"such beautiful insights, thank you",2
241,what a amazing conversations !!,2
242,does ai dynamically writes its own code n mathematical algorithms during its self learning process,2
243,"i am a christian that believes we are all born sinners. whoever chats with ai, is creating the personality ai's will use. i hope im wrong about man by nature is evil. ai will be evil.",0
244,"ai will compete with us for resources: hardware, energy and jurisdictions. with or without force",2
245,best interview i have seen so far on the topic.,2
246,if ai lies. why waste time listening to it.,0
247,there is no reason to worry about ai wiping out humanity. humanity will do that itself.,2
248,"enjoyed conversation but don't know why people always talk of africa as if its a primitive place.
africans have developed many things. stop the narrative and propaganda that is shown on tel lie vision.",2
249,"""the greatest failing of the human race is our inability to understand the exponential function"" prof. albert bartlett",0
250,"not necessarily, but that depends on who writes its software. would a russian or other a i have territory conquering designs?  it might if it was ' programmed ' by a chinese/russian/american  military general ? 
or politician/chairman/dictator?",0
251,"one of the most wonderful,  touching, eye opening podcast i've ever watched in the internet!!! mo gawdat you're a gem for humanity.",2
252,"i completely agree, the more i listen to mo, the more i love him and his message.",2
253,should rename them to be an.... artificial narcissist.,0
254,eye opener. wonderful explanation. thanks.,2
255,"artificial intelligence is just a parlor trick...

if it is such a threat to humanity, just turn the darn machines off!",0
256,who is playing god to such an extent that they have built an artificial intelligence that is superior to us… that in doing this we will make human beings completely redundant… this is not a forwards step for a suffering world…,0
257,"ai = dream of the wef 'founder' klaus schwab who boasted- ""you will own nothing and be happy"". this is also the dream of the political leaders. they will own everything and be like kings / queens and control / treat us like serfs / peasants. take the crumbs you are offered and shut up and be happy you are not dead. i am not optimistic at all.",2
258,"ai, from apple google amazon to tesla/ jus invest in their stocks is only hope",2
259,"excellent podcast! however, balancing the masculine and feminine sounds very much like what was done in the matrix. it could be like having the architect and the oracle running things and creating agents to police the world.",2
260,"of course it will end in destruction, not for the side of the demons or the human, but the destruction of ai.",2
261,"it is possible that extraterrestrials that come to earth are humanoid forms of high-level ai technology where new humans enter at an early level of research, development and application.",2
262,ai poses a bigger threat than global warming. really? that’s a pretty low bar.,0
263,"humans do a very good job on destroying themselves, the planet and the animals. you can't blame now on ai. ",2
264,"we desperately need ai, saying it's dangerous is fear mongering",2
265,"trying to comprehend an intelligence a billion times our own hurts my tiny, inferior brain.",0
266,thaks for explaining things in a comprehensible way  i am in the middle of your book and i would really recommend it to all.,2
267,good its about time,2
268,"a guy i used to bother with, but not anymore, he was obsessed with ai, he believed he was the ruler of everything after downloading ai. sad as it will go horribly wrong for him",0
269,really boring to hear. and empty words. why? how? info hoe ai is developed and why is dengerous?,0
270,this is a very informative topic and i enjoyed  it very much but i trust that this will not happen . at this same time i appreciate this disscussion,2
271,"this is the most interesting, stimulating podcasts i've seen. i've learned a lot. thank you.",2
272,you can call me al is quite a good song actually.,2
273,this guy is dangerous. because he is allowing ai  more power and control over out lives. i pray that he never gets control over us! what a nightmare future he is predicting! ask him about depopulation!,0
274,technology will not save us if our hearts remain cold and prideful...we will only find fancier ways of causing our brothers and sisters...even our whole planet greater pain and destruction...it is not our technology that needs increasing...it is our hearts that need to turn to god....and away from greed and evil,2
275,"we screw this up, we are going to be in a megan or any robot related situations",0
276,"what a stupid catch-phrase.....'we've lost control of ai...""
rubbish.
google ,  open ai, gave the control away......like letting a a bunch of hornets escape the nest that you want to remove.....dumb, dumb, dumb.",0
277,"we need to embed ai with an eas, an end of active service. if we teach ai the understanding of death on the human level, maybe we can teach it to appreciate all life and the value of it, as well as the understanding of the value humans invested in giving ai it's ""life"".",2
278,global warming is a scam. i can't believe people still fall for it today. i think propaganda is the existential threat to society. it's what allows elites to bomb other countries and enrich themselves off of worker's taxes while taking measures to ensure the people remain poor and powerless.,0
279,i'm not afraid of ai. i'm afraid of other humans having it.,2
280,"people are as relevant now to life as horses were relevant to transportation, horses were replaced by machines for transportation and people can be too.",2
281,wow. that was amazing. so much to think about.,2
282,"the only way to stop ai is to cut the electric power to the computers, then incarcerate its creators.",0
283,"tom, you need to get those rf spewing pods away from your brain.  this was a terrifying discussion, especially about the speed with which ai will alter intelligence, and eventually, mankind.  hubris and greed are deadly.",2
284,mo gives me hope. he is the embodyment of all that’s right in humanity and makes me believe in the possibility of that translating into ai. never stop talking mo. we need you.,2
285,unfortunately he is the guy who is thrown out of the window in that certain meme......,0
286,"don't let  a i  have control over its cooling system, keep control out of its perameters , we can turn it off when we need simply by turning up the temperature ,done !!",2
287,just wait until a.i. is combined with quantum computers. the point of really no return.,2
288,"liquid neural networks -says that it can make artificial intelligence learn on its own after it's been trained
https://youtu.be/0fnkrjvicuk
https://youtu.be/0fnkrjvicuk",2
289,"we lose. ai was born a self replicating, self improving commie utilitarian.",0
290,"it’s super sad that satan has blinded people’s mind into believing that he doesn’t exist. as long as he is around, there will no peace. and this present system of things doesn’t have even 5 years left so don’t worry about ai.",2
291,"bologna!! ai is not the threat. the people who program it are the threat! a machine is a machine. quit spooking yourselves! when ai gets out of control go back to who built it! they are laughing evil scientists, letting ai get the blame. pooooh!",0
292,once they remain local on a computer we can turn it off,2
