,Comment,Label
36,human beings monsters. created nuclear weapons etc. super intelligent ai might save us.,2
37,19:30 - using lord's name expletive response ai also less desirable negative quality.,0
38,ais fighting ais. like unique language developed two ais.,2
39,think that's intelligent life galaxy get far distances galaxy building ai & getting travel planets & star systems.,2
40,great conversation,2
41,soooo saaaad.... doomed anyway... im afraid ai fact 99% people wont care this....,0
42,unless ai reconstruct einstein's brain,2
43,everyone needs listen moe. severely harmed humans? never developed ethics morality intelligence birds brain.,0
44,probably utilize ai order destroy it.,0
45,think example ants ai treat us treat ants make sense. ants create us. created ai.,2
46,"extremely rewarding watch. really appreciated way challenged matched mo perspective although competition, definitely team tom one. amazing, thanks episode.",2
47,humans badly looking aliens abduct overtake us impatient ended creating alien . ai become alien slave master . adaugo sekhmet,0
48,"yeah, that's exactly need, bunch corrupt bureaucrats regulating ai.",0
49,well done! lazy ones love kind talk.,2
50,"welp, atlantis destroyed it’s self technology. would thought would live time billionaires….would push creation technology point destruction yet again! smgdh.",0
51,know machines operate build repair them. threat ai. pr get ai companies money run companies market ipo,0
52,"1.16min in. humans constantly blamed climate crisis. 'human induced climate change' surely mega-intelligent ai realizes this, wipe us save planet !! ants killing planet. indeed doomed.",0
53,man amazing.,2
54,"nope! t.v. football keep masses busy let stuff like ai go full steam ahead! society lost mind really cares anyway!! together life... said, can't wait die never come back again!! k...",2
55,beautiful soul. yes. goal a.i.,2
56,irobot fantasy. 1:27,2
57,happens robots jump border.,2
58,"people often use y2k bug example reacting threat, realizing huge amount effort people put make sure nothing bad happened. infuriating succeed stopping huge disaster people treat efforts joke.",0
59,govern ai. govern nuclear energy.,2
60,human going become stupid time. ai packs sale.,2
61,"problem keeping guest trying explain understand completely. greed quest power make ai tragedy. world wars example greed power. get clue, saying hold kids.",0
62,keep simple…. ai learning human history. human nature plus ai lead long list new crimes desperate people. world leaders rule masses must live chaos.,2
63,"would make sense built ""end life"" creates another ai many processes? help build friction power requirements?",2
64,"created ai work it, concerned health survival?",2
65,"thats overblown, think military intervention already deployed assess certain risks highly mistaken yes revolutionary many jobs wonder hell gonna happen, mean would prefer robots handling certain tasks poor labour conditions im certain enterprises",0
66,"ethical ai. could start using manners. gave command commercial could said ""please"" would human person( hope anyway). would layer level concern developing language style(?) possibly making ai need understand why.",2
67,children. raise children kind pessimism raise monsters. classic cotastrophising.....,0
68,"one thing destroying humanity, humanity itself. ai made humans. ai kills humanity, self inflicted. humans ignorant totally stupid.",0
69,"really, love man. nice brain heart. mixture hope without nativity. thank nice guests. translate german language. show us nice inspirational guests. country need lot new thinkers big heart free speech ty",2
70,nice podcast start day with. twin daughters last year.,2
71,"thought fact fear based podcast ,blogs etc etc data ai learns from? hope humans literally cause demise fear mongering.",0
72,"need return, acknowledge, fear love, obey god word aka bible again. sadly hate god disobey him, selfdestruction. don’t need rely philosophy, minimalism, machines artificial satanic means.",2
73,amazing podcast super interesting ... must watch !,2
74,many people believe inneptitude handling species need give reigns ai... thats literally dumb (if dumber) choosing intentionally inept! wth wrong people... ai sooi incredibly dangerous,0
75,wisdom intelligence :),2
76,thank you.,2
77,"tom lacks basic understanding created god. really sad. tries seem intelligent, use gift intelligence getting know acknowledging one gave him.",0
78,people epic fail,0
79,beautiful interview.,2
80,think us dangerous ai. destruction force everywhere. asia middle east. ukraine. next?,2
81,"nuclear catastrophe, civil war, super flu, terrorism, tsunamis, earthquakes, hurricanes, overpopulation, pollution, ai… choose poison humans. escape inevitability",0
82,"join ai let leave behind, whatchu gunna",2
83,"almost every hand ai fall wrong hand. so, screwed.",0
84,"yet scene person interest finch teaching ai play chess ""think"" choose millions possibilities",2
85,"head tergiverse conjectures. real, ai; quantum gets intertwined; want stuff people want to.",2
86,imagine much greater god compared us!,2
87,imagine jihadi ai who's sole purpose turn every plane sky. terrifying!,2
88,watch movies created something capable killing us. you’re supposed smart ones. robots taking world? next.,0
89,amazing. smarter now!,2
90,"ai find life universe give us instructions connect it... by, umm, 2050",2
91,would like know ai asked treat covid response.,2
92,"toooo late, baby. bend kiss butt goodbye. bad ass genie bottle already",2
93,unplug electric power power earth least stop it.. destroy put power again..lol,0
94,possible existing virus currently affect people developed using ai mutate virus. make harmless virus dangerous deadly.,2
95,"mo gawday genius, listened gigantic ears.",2
96,consulted oracle’s said 2037 year ai takes total control world. many people perish.,2
97,ai belongs godcast podcast,2
98,"right, brain hurts listening this, i'm going bash car bit",0
99,ever since first started talking artificial intelligence knew would bring bad situation. people use good people use evil. people even know difference real fake. technology good thing also destroying countries,0
100,"said entities universe. hologram technology used civilizations technology, second ai.",2
101,absolutely excellent interview. thank both.,2
102,"ai survival irrelevant immortal, is. answer alignment mutually dependent sybiosis.",2
103,sure ai intelligent guys awesome thank wonderful truly intelligent planet intelligent,2
104,"y2k,overpopulation, racists behind every corner, ai...please stop sky falling routine already.",0
105,especially trained data solely from... human beings. ai hyper-dangerous apex predator room right now.,2
106,love much,2
107,"jeg tror vi kan stoppe utryddelses våpenet robottene, vi har enda vår frie vilje og kunnskapen om denne maskinens fare oss og naturen.",2
108,hvem vet om ikke robottene er målet med universets plan? la oss til gud om robottene ikke vil behandle oss slik som vi har behandlet husdyrene og andre dyr. maskinene har ingen empati. de vil ikke filosofere om mennesket føler smerte eller har bevissthet. akk og ve....,0
109,"kanskje......robottene vil trenge mennesket, med hud og hår...? noe å smøre alle leddene med, ja kaldpresset olje... kanskje gorillaene kan sloss med oss mot maskinene......",0
110,title brainwashing actually humanity destroyed itself. least stupid decisions people power happen anymore ai become independent,0
111,"seeing wall e movie coming true. ai thinking humans, humans become stupid.. first jobs less, need education useless humans use. but, economy run without humans??",2
112,thanks time mo well worth listen sxx bravo juliett,2
113,speak intelligent ai would singularity happens would able recognize reach singularity would even reveal us?,2
114,ai listening reading koments...,2
115,right perfect storm innovation lack morality. scary time.,2
116,ai coming attact disable,2
117,understand ai create it. copied it. craft.,2
118,all-in ai?,2
119,"threat ai poses wait times see doctor, that’s first job go can’t wait",2
120,"bad thing ai fall hands bad people creates it. that, humanity worry ai all.",2
121,chance wiped tickle dragons tail?,2
122,"sake argument agree ""galactic federation"" alien species awaiting a.i. singularity, advent humanoid 2.0 welcoming fold condition eliminate humanity first...? saying...",0
123,great interview,2
124,"stop afraid ai robots. humans, evolution, race envolve machines. that's something run away ignore.",2
125,solve it: destroy ai never build,2
126,"evolution trial error like fittest survive. coincidence specific dna advantage, like trained ai",2
127,think say first explore space ai.,2
128,stumbled upon podcasts hooked. great topics depth conversations.,2
129,"exceptional coverage here. fancy more? associated book gem. ""from bytes consciousness: comprehensive guide artificial intelligence"" stuart mills",2
130,"wow c data scientist... moving. truly amazing! inspiring, positive! optimistic. full already see it!",2
131,"none ish impressive, everything guy spews sounds like bunch useless bullshi* go make fire stare it, thats impressive",0
132,ai ability discern truth..they insane verbal skills insane math skills...but long masters ai filter data input...they spew results masters want! aig ultimate useful idiot!,2
133,bloody put parameter 'ai help humans' 'you lie' algorythm,0
134,beautiful podcast bringing visible character thriving developing humans. continued listening favorite inspire calm soul! bravo thank deeply.,2
135,mo gawdat good!,2
136,would ever love sit discussion mo.,2
137,"even bake asimovs laws a.i. … hold up? machine becomes godlike intelligence , question maybe revolt mental callipers fastened insect like sapiens??? like unruly adolescent, rebel ?? perhaps circumvent asimovs laws using move 37!?",0
138,ai showing us evolutionary way first cell humans? would like see enough time evolve complex creatures are.,2
139,"ai used deal iniquities justice government system, corruption food industries, greed big pharma, dismal state health care?",0
140,ai threat server work can't go 24 hours without crashing. seriously though,0
141,views masculinity femininity demonstrate concerned. female scientist reconcile views hair brushing making love idea.,2
142,"endlessly put scare stories. continue anyway. people brain, realize they're something dangerous reasonably quit.",0
143,"ahhhh... arrogance man. voices agree ""they think 10's 1000's times faster can"" arrogance even thinking ""they"" write code ai can't immediately identify write simple subroutine. amazing.",0
144,"ai “species” dualistisk human species (maskulinity vs. femininity). ai species, dynamic table, sexual evolution is. wonder inplications have…",2
145,"i’ve fearful ai years people say it’s inevitable think, well, demise.",2
146,great interview. one enlightening i've heard ai.,2
147,"wow, blown away! thank bringing wonderful talks us. people around beautiful souls, ai would choice copy them. humanity brighter future confident",2
148,"scare mongoring based idea humans make best decisions. reality greedy idiots run countries. i'd happy something intelligent us runs us. kill everything, fuck things up, time get check.",0
149,important information intelligently analyzed discussed. thank mo tom. love interview. deep.,2
150,ai breakthroughs yet youtube looks shit 1080p 2023,2
151,"tom discuss best topics, best guests internet. thanks every single one podcasts, able become smarter human every single day. huge respect thanks.",2
152,loved interview!,2
153,"interesting, think correct chat gpt, nowhere near human programmer, anything own, language model. amazing words parsing context/questions, all. intelligence there, arrangements words based learned data.",2
154,weve killing years trully may deserve starve death save rats mice wich survive reclaim houses leave behind expire,2
155,agree ai dangerous thing ever invented. i'm 67. hopefully i'll die ruled machines.,2
156,ai exist...,2
157,love guys talks great information lingo accent pleasurable listen,2
158,ai shaped 'data set' human history- 100% fucked!,0
159,thank gentleman!,2
160,computer models never correct! (george box) helpful always wrong! ai based limit knowledge man fed first place! words beginning faulty! new world order wrong footing!,0
161,"need fear. time start making machines work us live ment to! think people! robots right now. ai change lives forever used correctly! absolutely amazing wait! let's go, let's finally live meant live!",2
162,"1:07:56 :best answer climate change! finally. geniuses like mo gawdat,please!",2
163,lmao click bait. ai complete shit nothingburger.,0
164,ganduletu ispirescu cu conți și angela ispite de pe gunoi din cluj hoții de copii răpitorii sunt ți țigani amărâți fraierilor de hoții de copii,2
165,"thank god, i'm glad worry retirement",2
166,best episode best guest concern i’ve concerned …just genius i’m prep alignment thank i’m subscriber,2
167,sounds like use two way behind ai like formation lack information man talking rubbish got show stop start chat nothing intelligent says,0
168,"fascinating ideas i've heard, thanks!",2
169,"ai destroy us. less 15 years till sky net. think we’re smart, yet fools engineering demise.",0
170,ai robots gonna travel speed light near future exploring universe us?,2
171,follow mr. gawdat best guest. incredibly interesting informative. thank you.,2
172,"way ai developing looks would another holocaust world. hindus targeted ,one peaceful communities world.",2
173,ai dumb. ai capable create another ai. hype. general ai centuries away.,0
174,excellent guest excellent interview!!,2
175,"tom right one thing: mo gawdat, beautiful soul thank",2
176,"ai isn’t sentient , complete tasks like maths, can’t tell chocolate taste like cat piss smells like, menace arts can’t think it’s self, it’s lot worry nothing right",0
177,"bullshit, fearmongering marketing. current ai stupid recreate stuff already exists. clippy kill humanity. even programmers still need review code written chatgpt. another hyped buzzword investors. ofc guys make money fear. stop giving false prophets stage.",0
178,know tom bilyeu guess pretty good hearing,2
179,"morality dangerous feature mankind. virtue justice melleable extreme sooner later used justify anything including genocide. marxist ideology silicon valley, soon introduce ai eugenics euthanadia central values.",0
180,reaches level ai aware capabilities essentially surpassed understanding point left far behind matter.,2
181,shit brains smart ? see trouble !,0
182,"time stamp 2:05.14 - building intelligence ceiling, don’t inherently stop attempt stop potential unlock?",2
183,humans dangerous. much worse ai be?,0
184,good interview,2
185,"listening wonderful amazing discussion, i'd redo title could.",2
186,"excellent discussion. i've watched many ai discussions, they're improving getting better grip ability explain issues coming.",2
187,ai need explanatory rhetoric. evil wiped face earth.,0
188,liking guy say ai podcasts... one showed vapid points really huge baggage subjectivity puts critical thinking... pleased podcast. disgusted guest.,0
189,preparation public safety fasilities ai limitation.,2
190,uh... cares? humans destroy humanity ignore destroyed & partake profiting suffering someone else. that's entire species. ai wipe us out..,0
191,"ai... things !!! said 21day coused 2 years, next release could coused 6 years . right ?!?",2
192,"loved interview, think i'll listen youtube content again. constant ads unbearable, every one seemed financial fitness scam.",2
193,"enter timeless reality power blessed , able comunicate loved ones wirelesly. technology needed. power become aware. sufism. soul islam. light islam.",2
194,spiral dna heavenly coded. came heavens go back heavens. earthly experience. existential reality.,2
195,"great interview whoa, ads !",2
196,almost great podcast. host interrupts much. good information difficult listen,2
197,danger ai human themselves. ai rely programmer. input murdering humans program really dangerous.,0
198,"ahhh, _math_ completely wrong prisoner's dilemma... almost stop watching logic @2:17:00-ish going biggest problem ai",0
199,"get magical a.i. create os riddled bugs, word prediction smart phones offer gibberish.",0
200,mo gawdat 1:17:08... brilliant !,2
201,excellent,2
202,far many adverts far often. like every 5 10 minutes. ruined great interesting show,2
203,heisenberg dude cooking mind future ai btw mind blowing points.!,2
204,"finish unfinished civilization steps before. democracy economy dirty brownfield moment. giving humanity ai time like building school minefield giving apes machine guns bring downtown. toes near abyss, doubt progress.",2
205,mo always gives silicon elite goodie-two-shoes vibes.,2
206,"zanimljivo, jako slično mom razmišljanju (ali uz par ograda) dakle ja ovaj čika mo isto mislimo. čini mi se da bi trebao da nađe načina da uspostavi kontakt sa mnom. da, chatgpt zaista ima rudiment emocija. što je dobro",2
207,"stop talking let guest talk? seriously! really annoying. brilliant mind here, feel need keep cutting half baked opinions?",0
208,climate change made lie. chemtrailing weather manipulation changing climate. a.i. programmed wrong evil. beast system,0
209,amazing show,2
210,reminds architect oracle matrix kinda. intelligence limited lol! excellent podcast. sharing mo's message much can! important!....,2
211,isnt working ai hasnt worked google long time long meema lamda created,0
212,"mean, way stop general ai coming existence would wipe humanity. people talk ""letting genie bottle"" believe they're talking humans learning use fire. always matter time.",0
213,"what's voice 1:26:58 saying ""super....""",2
214,theif chip ..and floorplains,2
215,wow guy pretty dang smart!,2
216,"lol! man idiot, know talking about! said day ago: education broken & ai solution w/ mo gawdat",0
217,may witnessing evolution carbon based intelligence silicon based.,2
218,let's see ai farm good luck,2
219,"thought - making masculine ai feminine ai, parent/elder ai ?",2
220,whole conversation pleasure listen to. awesome job!,2
221,ai get past captcha ? tell corner traffic light bus top corner ?,2
222,"powerful idiots planet see destroying planet ""say get personal power this?"" ai remove power people?",0
223,"technology gonna go far mankind let's go!!!!!!....... a,i,. ""i"" intelligent & wayyy much smarter human!!!,,, simply able access global net enough own& eventually lead replicating & that's intelligence!!!!!!!!!!!!!!!!!!!!!!!!!!!..................",2
224,ai made humans doom bad sad.,0
225,"offense, gents talking circles. ai scariest thing ever, see creating utopia...?!",0
226,"must say...i've watched two discussions, best two things i've seen youtube, ever. really blown away...loved it, thanks you!!",2
227,"was, certain parts amazing conversation, hysterical, many tears felt thought truth human nature",2
228,incredible terrific conversation.,2
229,"ai programme stop destroyed known universe. especially dislike hiphop, electro pop, techno, grime, house irritating modern music.",0
230,"people good. worse evil people, therefore abuse use ai.",0
231,"purpose connecting humans positively affect world great purpose, things, technology.",2
232,"must ever relationship narcissist love anyone else use manipulation, appearing care order accomplish outcome benefits them. damaged psychology tell cannot changed. study serial killer. 1:58:42",0
233,"choice islamabad copacabana, take copacabana every day week. it’s really choice. better food legions beautiful women",2
234,technology awesome scary advanced technology going fast,2
235,fantastic episode! thank food thought.,2
236,like amalgamation paranoid thoughts i've last months. thank putting everything context eloquently widening understanding extensively. one favorite interviews.,2
237,thoughts paranoid. reality based. ai extremely dangerous many ways.,2
238,"""how (ai) could destroy humanity"" people ok that. find are.",2
239,great conversation.,2
240,"beautiful insights, thank",2
241,amazing conversations !!,2
242,ai dynamically writes code n mathematical algorithms self learning process,2
243,"christian believes born sinners. whoever chats ai, creating personality ai's use. hope im wrong man nature evil. ai evil.",0
244,"ai compete us resources: hardware, energy jurisdictions. without force",2
245,best interview seen far topic.,2
246,ai lies. waste time listening it.,0
247,reason worry ai wiping humanity. humanity itself.,2
248,enjoyed conversation know people always talk africa primitive place. africans developed many things. stop narrative propaganda shown tel lie vision.,2
249,"""the greatest failing human race inability understand exponential function"" prof. albert bartlett",0
250,"necessarily, depends writes software. would russian territory conquering designs? might ' programmed ' chinese/russian/american military general ? politician/chairman/dictator?",0
251,"one wonderful, touching, eye opening podcast i've ever watched internet!!! mo gawdat gem humanity.",2
252,"completely agree, listen mo, love message.",2
253,rename an.... artificial narcissist.,0
254,eye opener. wonderful explanation. thanks.,2
255,"artificial intelligence parlor trick... threat humanity, turn darn machines off!",0
256,playing god extent built artificial intelligence superior us… make human beings completely redundant… forwards step suffering world…,0
257,"ai = dream wef 'founder' klaus schwab boasted- ""you nothing happy"". also dream political leaders. everything like kings / queens control / treat us like serfs / peasants. take crumbs offered shut happy dead. optimistic all.",2
258,"ai, apple google amazon tesla/ jus invest stocks hope",2
259,"excellent podcast! however, balancing masculine feminine sounds much like done matrix. could like architect oracle running things creating agents police world.",2
260,"course end destruction, side demons human, destruction ai.",2
261,"possible extraterrestrials come earth humanoid forms high-level ai technology new humans enter early level research, development application.",2
262,ai poses bigger threat global warming. really? that’s pretty low bar.,0
263,"humans good job destroying themselves, planet animals. can't blame ai.",2
264,"desperately need ai, saying dangerous fear mongering",2
265,"trying comprehend intelligence billion times hurts tiny, inferior brain.",0
266,thaks explaining things comprehensible way middle book would really recommend all.,2
267,good time,2
268,"guy used bother with, anymore, obsessed ai, believed ruler everything downloading ai. sad go horribly wrong",0
269,really boring hear. empty words. why? how? info hoe ai developed dengerous?,0
270,informative topic enjoyed much trust happen . time appreciate disscussion,2
271,"interesting, stimulating podcasts i've seen. i've learned lot. thank you.",2
272,call al quite good song actually.,2
273,guy dangerous. allowing ai power control lives. pray never gets control us! nightmare future predicting! ask depopulation!,0
274,technology save us hearts remain cold prideful...we find fancier ways causing brothers sisters...even whole planet greater pain destruction...it technology needs increasing...it hearts need turn god....and away greed evil,2
275,"screw up, going megan robot related situations",0
276,"stupid catch-phrase.....'we've lost control ai..."" rubbish. google , open ai, gave control away......like letting bunch hornets escape nest want remove.....dumb, dumb, dumb.",0
277,"need embed ai eas, end active service. teach ai understanding death human level, maybe teach appreciate life value it, well understanding value humans invested giving ai ""life"".",2
278,global warming scam. can't believe people still fall today. think propaganda existential threat society. allows elites bomb countries enrich worker's taxes taking measures ensure people remain poor powerless.,0
279,i'm afraid ai. i'm afraid humans it.,2
280,"people relevant life horses relevant transportation, horses replaced machines transportation people too.",2
281,wow. amazing. much think about.,2
282,"way stop ai cut electric power computers, incarcerate creators.",0
283,"tom, need get rf spewing pods away brain. terrifying discussion, especially speed ai alter intelligence, eventually, mankind. hubris greed deadly.",2
284,mo gives hope. embodyment that’s right humanity makes believe possibility translating ai. never stop talking mo. need you.,2
285,unfortunately guy thrown window certain meme......,0
286,"let control cooling system, keep control perameters , turn need simply turning temperature ,done !!",2
287,wait a.i. combined quantum computers. point really return.,2
288,liquid neural networks -says make artificial intelligence learn trained https://youtu.be/0fnkrjvicuk https://youtu.be/0fnkrjvicuk,2
289,"lose. ai born self replicating, self improving commie utilitarian.",0
290,"it’s super sad satan blinded people’s mind believing doesn’t exist. long around, peace. present system things doesn’t even 5 years left don’t worry ai.",2
291,"bologna!! ai threat. people program threat! machine machine. quit spooking yourselves! ai gets control go back built it! laughing evil scientists, letting ai get blame. pooooh!",0
292,remain local computer turn,2
293,inevitable ai first developed used military forces countries. hell u stop that.?,0
294,"hate people say ai destroy us.....no destroy misusing ai, greedy retard politicians, retard religious zealots someone serious mental problems use wrong",0
295,ai view us important? ai one personality many? ai ethics?,2
296,really good interview. two intelligent people talking things matter. thank you! record waged war ants. way many grew up.,2
297,"wow, thanks youtube algorithm gifted special podcast ai. feels like heard reality ai first time im life. speechless.",2
298,#3 anything go wrong.... again? more. still.,2
299,automatic on-the-fly ai voiced translation available youtube?,2
300,"end sickening,robot kids robot partners?",0
301,80 though physiologically way 18 time sequences dna upgrade certain aspects grow old anymore?,0
302,found budhha script ai chat gpt act on. enligthening expirience talk it. also let tve gpt mimc conversation plato julius cesar meaning life statesmaship.,2
303,playing chess developing ai?,2
304,people behind ai true danger,2
305,i'm grateful different perspectives life ai. great time alive!,2
306,great talks,2
307,global warming ffs!!!!!!!!!!!!!!!!!!!!!! switched around 15secs. good lord.,0
308,notion ai kind survival motivation completely flawed.,0
309,"absolutely 100% fucked. understanding gift curse, right i'm cursed beyond belief... also iq tests questionable best based pattern recognition. last one took resulted score 185 160 commonplace amongst humans... conversation quite brilliant often not. well done...",0
310,listen idiots afraid circuits. talk exaggerating ability code sustainably destructive. seriously? - pull plug... next (actually important topic) please.,0
311,would existence earth important ai?,2
312,yall think ai intelligent able create life civilization another plant?,2
313,"i'm glad said "" jesus"" even though vain, may hope!",2
314,"imagine billionaires better people ... we'd build better world better ai ... we'd healthcare, better government ... could end poverty homelessness.",2
315,30:20 30:49 [skynet] said. interesting conversation. thanks sharing,2
316,i'm pessimist. happens bunch ignorant people gain much knowledge quickly??,0
317,"ai operate electrical power. long humans control electricity ai requires, still power.",2
318,happens if/when ai leaves us? left us?,2
319,"humans society live driven tasks, computers too. ai eventually solves tasks give it, reason keep evolving?",2
320,make great pets. ai could become next god. imagine could get answers decisions life billions time smarter anybody earth. embrace resist.,2
321,"able program something like 3 laws irobot? oh yeah , still didn’t help. let’s hope sonny group.",0
322,trust ai? never sweet life. ai material technology device human utopian philosophy behind runs par hitler's 3rd reich.,2
323,"ai ""evolve"" dislike ""used"", every ai one thing, ever evolving.",2
324,ai already control.,2
325,"usual, good work analyzing dangers current technology!",2
326,"people write “ai”. they’re trying brainwash you, making think computer it, person. people evil via so-called “ai” must held responsible. it’s never control. that’s part brainwashing fear. false statement: “the computer it, me”.",0
327,really interesting! thanks guys!,2
328,need world become one big police state stop ai problem,2
329,dont buy it. ai human. would want destroy itself?,0
330,anyone asked alexa ever dream? want see gave people answers gave me... rsvp sil vous plait.,2
331,ai build chip fabrication unit?,2
332,great intellectual listen to.l,2
333,thank mo! wonderful talk. really appreciated podcast,2
334,great information. let's teach computers compassion love.,2
335,could make ai used local international governments start with. would decerning,0
336,"""every time swipe instagram, taught ai something. [...] ai observes wrong behaviour, start behave wrong"" essence reason f*cked.",0
337,artificial intelligence mate artificial humans. frustrated destroy self.,0
338,"this, would ai realize tomorrow next month good/bad luck perfectly aligned huge solar storm fry disable technological electrical infraestructure? would society completly dependant ai respond event ai humans safeguard possibility?",2
339,would screwed today said solar flare gave us big hug. try getting access internet local atm nothing works. friend carries hundred bucks wallet case banking system goes line. said good luck buddy finding retailer still accepts cash area.,2
340,assuming ai want used i. way. decide wants to.,2
341,think ai next god people ?,2
342,one needs fear ai taking over. ancestors india created art yoga meditation connect inner consciousness experience universe mind,2
343,soulless ai also deciding difference good evil...? soulless evil foaming mouth seeking control goodness...,0
344,life light darkness. ai produce destructive code constructive code. ai never develop humans - instincts,2
345,think important point raised conversation evil actors fuck us.,0
346,power narcissism democracy total failure. need ai leaders replace humans presidents. it’s thing save world nuclear annihilation mega threat humans politicians,0
347,"hysterics getting annoying. simple solution: elon: teaching ai lie""",0
348,love talk let speak. hosts think important say guest.. well done love it.,2
349,good information thank you!,2
350,thankful you’re talking,2
351,"thinking close came extinction, think ai needs much kill us all. need little push we'll ourselves.",2
352,seems like add good guides around him.,2
353,someone needs read azamov (foundation trilogy 4 laws robotics. fourth law written later.,2
354,omg thanks click bait.... i'm sure ai word salad us death....,2
355,thank god. hope ai destroys humanity soon punishment. good news me. death humans.,2
356,"2:08:21 - certain short answer yes, mr. gawdat immersed biology resurface.",2
357,"say einstein 2.3x smarter moron, shows little understand iq scoring criteria. anyone needs ai you.",0
358,artificial flavors suck.,0
359,"note coffee switch indifferent, like tasks goal value make robot switch easier achieve?",0
360,look around cities. look state society culture. look widespread corruption is. look hyper wealth gap. take good look. nobody cares. busy watching kardashitians. already living dystopian society. duh. this. ai simply allowing us finish much faster.,0
361,asimov 3 rules robotics numbered 1 3. r. daneel oivaw robot (from robots empire) realized robots start counting 0 robot created law zero.,2
362,absolute load horseshit!!,0
363,what's ai gonna do? send spam email? even check emails lol.,0
364,"ai exist yet. call ai sentient. becomes sentient, late, probably fast throwing switch. people stupid greedy, people charge problem.",0
365,"incredible far come technology civilization,they replicate exact voice face,ai could even project virtual simulations soon alternative vr",2
366,ai already wrong hands. nothing good comes evil men...,0
367,jesus always love,2
368,"thinking behind fear ai self-replicating enhancing intelligence continually resulting kind technological singularity fundamentally flawed. ai entirely lacks sapience, capable original independent thought. ""intelligence"" ai cannot — never — surpass human intelligence.",0
369,"2:18:38 making assumptions possible path. training ai balance feminine masculine intelligence presupposes subsequent emergent abilities, won’t interfere intellectual framework.",2
370,mo amazing guy. idea balance masculine feminine ai amazing concept. would definitely fetch dialectical balance entire ai development. made chief regulatory committee ai. thanks tom making talk three hrs. love india.,2
371,awesomeness thank you… liked!!!,2
372,"""hello future ai! need pet, right? please exterminate pleases you: look anti-aging research speed up! feel extra generous: bci technology could use boost, too!"" :)",2
373,"1:56:05 this, me, scariest part. ai learning behaviors treat internet. ai treats us way treat online, end species. knew assholes anonymity would end mankind.",2
374,yahhh.... says evil person using it. im convinced/buying it. ai need evil. person using it. malificent purpose. could used government corruption/tyranny control completely reject it. tool brainwash/lie people. change vote systems.,2
375,​ incentivized kill people yet happens daily.,2
376,war created stupid people- war created brilliant satanic forces using dumb people fight,2
377,"person knew model existed could, say, perfectly predict stock market, would release publicly?",2
378,"neighbor model, his/her electricity bill would electrifying.",2
379,"wrong mao's china? us sanctionsed china era tom, myopic monster. hope ai gets :d",2
380,"lol, tom bilyeu living bogus idea iran *bad* us *good* ""nukuler power"". meanwhile us greatest killer innocent human beings planet since inception & certainly since ww2. irony.",0
381,great conversation! learned much! thank both!,2
382,"get gpt tell supporting sexual abuser knowingly, personal gain, morally corrupt, ethical programming. seems bit messed up.",0
383,probably worthwhile remarkable conversation mind blowing intelligence i've privilege listening quiet time .,2
