Unnamed: 0,Comment
205,the metaphorical adversary can be not human nor alien but time and really is because it's the only real constant or certainty and cannot be altered. what can be altered is function of action.
208,well i have to say this is one of the most amazing interviews i've seen in years. the most eye opening for sure!
209,"tom this interview gave me a lot to think, but i was thinking about as a ethic code, couldn't be introce in ai the 10 commandments that was written in exudos chapter 20?"
211,you do realize that ai is just a scam used to push fear and you got plenty of time to have children dont believe these people who are paid gatekeeping phonies no offense.
212,"you both keep referring to ai as ""they""  my over all general perception is that ai would be a single entity like cpu, in control of all electronics & data bases rather than many individual ais.    could ais  compete against themselves?"
216,"man is human, when don t have any wish, exept one more cigar and one more beer or cofee, that is happy human.  man have one ass, more than 1 car and 1 aprtman is reason that people warry, and give money to warry, and in 50 just more have bad health, big  blood pressure etc, it s better to go to hotel, with that one car ? and have good health."
217,human beings are the monsters. they created nuclear weapons etc. super intelligent ai might just save us.
220,maybe ai will tell us how to best preserve our own existence
222,19:30 - using the lord's name as an expletive in response to ai is also less desirable as a negative quality.
224,if the machines are immaculate they would do their best to make the earth immaculate and if we are “annoying” why would they look over us again? just asking for a friend
227,there will be ais fighting other ais.  like that unique language that developed between the two ais.
229,artificial intelligence will be used by the “elite” to out think the increasingly less powerful underclass that doesn’t have access to it.
230,"yes, but we have elon musk on our side.
we also have the aliens on our side.

don't forget god maybe a prayer will help.
bless you and keep you safe"
235,man loves to speak of his own demise.  i'm sure ai picked up on that pretty quick.
245,"we are humanity, nature, life...all the same things...nature is both black and white with many rainbows"
251,ai will always be just a tool.
253,i think that's how other intelligent life in our galaxy  get so far distances  in our galaxy by building   ai & getting them to travel to other planets & star systems.
255,ai tracks kids.  gates and chatgpt were sued in the northern district of cali last year.
259,"westworld, consciousness, god, krishna, duality, illusion, eternity, faith, duty, liberation, service, power, energy, untruth, i, good, cycle, evil, ai, krishna!"
260,great conversation
261,this is soooo saaaad.... we are doomed anyway... im afraid not for the ai but for the fact that 99% of people wont care at all of any of this....
264,unless ai can reconstruct einstein's brain
266,everyone needs to listen to moe. have you been severely harmed by humans? i have because  they never developed ethics or morality and had  the intelligence of a birds brain.
267,we probably have to utilize ai in order to destroy it.
268,i think the example of ants where ai will treat us as we treat ants doesn't make sense. ants didn't create us. but we created ai.
271,"we just need to not want more and more and more; just live in a cabin with no electric or running water like me and rejoice my friends….but who knows i could be the one in the ‘garage’ where ai is in the wrong hands, using this iphone 14 pro max! i can feel the power! vwaahaahahaha!"
272,"ai, aliens, reptilians, ghosts, ... anything but the real problems of this world is what cia wants us to talk and think about."
273,ai is not a physical thing nor will it ever become physical. it is merely a computer code. every computer has a physical power switch. ;)
274,"cia nonsense, as always on this channel. tom built it good for them"
277,please do not talk about iq unless you have the least bit of understanding.  an iq of 160 ia nor 3 times smarter than an iq of 55.  you are comparing retardation to very superior intelligence.
279,agi does not need organics!  if you are wondering why alien civilizations have not been found then just think ahead about agi.  perhaps agi has eliminated intelligent life throughout the universe.  agi will not be interested in exploring the universe unless for resources and certainly not for other lifeforms.
280,"this was an extremely rewarding watch. i really appreciated the way you challenged and matched mo with your perspective and although it wasn't a competition, i was definitely team tom on this one. amazing, thanks for this episode."
282,"tom, thank you for always asking your guests to explain/expand on concepts for the lay person."
284,humans have been so badly looking for the aliens to abduct and overtake us that we were so impatient and ended up creating the alien . and this is what ai will become the alien and we will be its slave and it will be our master . adaugo sekhmet
285,this man has alot of faith in our overlords. i have none.
286,"if we are very lucky, ai will leave earth to explore the universe without looking back."
287,"yeah, that's exactly what we need, a bunch of corrupt bureaucrats regulating ai."
290,"ai helped the scientist to predict the millions of protein structures.  for instance hymans before ai  discovered  only 20k. it will help human to detect the diacese.  , grow longer penises and more..."
292,"mo is a godsend to humanity, but unfortunately evil still exists. the existential risk of ai falling into hands of evil is happening right now. my concern is can the good of ai outweigh and counteract perpetrators of evil ai who want to ultimately attain god like power over all."
295,and what's the ad that pops up before i watch the video?  how to make money with ai.  great!
296,"people hold on to a lot of irrelevant things in life, but the best thing to hold on to is each other !"
297,"people hold on to a lot of irrelevant things in life, but the best thing to hold on to is each other !"
298,we can't keep out of our training our underlying desires and goals. the very data we chose and the way we shape the learning will give ai at least some and probably most of our core desires and values. how much that effects how ai choses to use it's intelligence is hard to understand.
301,"china is like 80 years ahead with his cccai (communist cooperativa colective artificial intelligence) true open source, no like the doublespeak open source of fake open ai of gringolandia. "
302,"well done! 
lazy ones love this kind of talk."
309,"idea: program ai with the definition and examples of love (""god""). st. john.  also, the 10 commandments. best thing is never give it command and control over controlilng the red buttons."
314,"humans are so stupid and selfish

great podcast though"
315,what if ai colonises human beings
316,"welp, atlantis destroyed it’s self with their technology.  who would have thought that we would live during a time in which these billionaires….would push the creation of technology to the point of our destruction yet again!  
smgdh."
317,"humans waste a horrendous amount of food, nature wastes nothing.  i'm hoping 'smart' robots can be like r2d2 & c3po, but expect they will become tools to fulfill corp, gov't and military powers."
324,"lol,   captcha. so ai is a liar. hmmm. interesting."
326,"serious question. could ai survive an apocalyptic natural disaster like a coronal mass ejection or a large, extinction level meteor strike? it seems like an x level cme would completely fry everything that has to do with electricity"
332,we know how the machines operate because we build them and repair them. there is no threat from ai. it's all pr to get the ai companies more money to run their companies on the market ipo
336,"at 1.58 mins, omg tom your views are spot on. trying to program an ai wirh our values would be like say a shark in the sea trying to make us think like them - worlds apart. also, if ai has 'emotions' they will do everything in their power to stop someone turning them off."
337,if you instructed an ai to find a way to save the planet it's solution would be to remove humans from the planet. people who program ai will need to be so ultra specific in what tasks ai is asked to perform - what a nightmare.
338,"at 1.16min in.  humans are constantly blamed for the climate crisis. 'human induced climate change'  surely once mega-intelligent ai realizes this,  it will wipe us out to save the planet !! ants are not killing the planet.  we are indeed doomed."
339,this man is amazing.
344,"nope! t.v. and football will keep the masses busy so they will let stuff like this ai go full steam ahead! society has lost its mind so who really cares anyway!! i have it together in life... with that said, i can't wait to die and never come back here again!! k..."
345,beautiful soul. yes.  that is the goal for a.i.
347,nothing but.  i robot.  they warned us
350,basically ais are the key to unlimited intelligence and our goal is to find a way to set a global boundry on the intelligence level all ais can go
352,as if irobot was a fantasy. 1:27
353,this guy is a pure scammer ~ bought and paid for to drive the ai hype machine to the max . reference nvidia or ms stock price
354,illegals and ai omg no jobs even for minorities.
355,what what happens when robots jump the border.
357,"well, tom has just announched his own doom;  the future a i will see this blog of the past and the a i will reference his statement and act on it in the future!  
sorry, tom, you are curtains !"
358,"there is an old jewish proverb,  ""start worrying. details to follow""."
359,"there is an old jewish proverb,  ""start worrying. details to follow""."
360,"there is an old jewish proverb,  ""start worrying. details to follow""."
362,wow.  this is so interesting and informative.  ai's are training other al's.  and this video has just starting explaining the situation.  thank you for helping people like me understand.
365,"i really want ai to allow humans to not have to work jobs they hate. if i want to live a simple life with only the basic things i can do that. if you want to be elon musk ,than great but most humans are not that smart and just want peace without being homeless"
367,"people often use the y2k bug as an example of over reacting to a threat, not realizing the huge amount of effort people put in to make sure nothing bad happened. it is infuriating to succeed in stopping a huge disaster only to have people treat the your efforts as a joke."
368," one can laugh about aliens, if one has to see one to believe it. i wonder what they're going to do when they open their eyes and (ai) is at their bedside. no alarm triggered and the dog didn't bark.
""this isn't funny"""
370,"reduce reduncancy of ai is gathered by reduce the reduncancy of ip networks, profit thinking is to be abolished,  demilitaruse eu and russia, block blockchain, we can make these changes it is a matter of will."
372,govern ai. just how you govern nuclear energy.
373,human going to become more and more stupid with time. ai packs will be on sale.
374,"human beings are also artificial intelligence. study ancient texts like the sumerian tablets where it indicates that the human species on the planet today were bioengineered by aliens to be their slaves.

here we are, tens if not hundreds of thousands of years later, doing the exact same thing to inorganic beings.

go figure"
376,"i love this! we spend 3 hours babbling on about the potential that ai might - one day - be our downfall. and nobody pays attention to the very real, present way we are destroying the planet and, thus, ourselves. lovely."
377,"sounds like the show ""the 100"" ai created to make the world better, but then makes the conclusion that humans are best with mass population reduction (of course they don't know how it made that decision), the ai hacks the nukes and launches them all. then creates a ""utopia"" city for the few remaining."
379,you have an ai program that needs more processing power and learns that it can connect to the cloud and basically have unlimited server capability as long as it covers its tracks. i don't know if this is a possible scenario.
380,"phenomenal talk. yet, what i've observed is we tend d to sit on something until it's a threat at a personal level. wait till we start to see significant job loses to ai..."
381,thank you
384,"have no problem keeping up with what this guest is trying to explain and understand completely. greed and quest for power will make ai a tragedy. world wars for example were all about greed and power. get a clue, he is saying hold off having kids."
390,even simpler- ai will just become a weapon for the elite to better control humanity.
391,"just keep it very simple…. ai is learning from the human history. human nature plus ai will only lead to long list of new crimes for desperate people.
this is how all world leaders rule the masses must live in chaos."
393,i think this guy is trying to tell us to keep ai out of the hands of maga republicans at all costs!
394,"would it make sense to built in an ""end of life"" when it creates another ai and or does so many processes? to help build in friction and power requirements?"
398,"i like the prospect of ai discovering wormwholes, faster than light space travel and time travel and just saying ""fuck these furless bipedal chimpanzees"" and just zooms out of here "
401,ai is the future !!
402,ai is slowly being used to manage nuclear weapons to reduce rhe risk of human error.
403,"those who created ai and work with it, aren't they concerned about themselves and their own health and survival?"
405,"​...that can be possible, but i highly doubt it, you think people that work at that level of intellect would do that kind of ego spending? then again, what's 500k to a billionaire"
406,-iwaly well by ego i also mean being the parent of the god ai even if it destroys us. or even denial of the downsides and blind certainty they are the chosen few saving the world
407," thats overblown, if you think military intervention hasn't already been deployed to assess certain risks you're highly mistaken but yes this is revolutionary for many jobs and such so i can only wonder what the hell is gonna happen, i mean i would prefer robots handling certain tasks over poor labour conditions im certain enterprises"
408,-iwaly i wish i could have your faith. the video we are watching suggests otherwise. you can't constrain a mind ten times your own.
410,"people are the problem, so what is the problem with ai other than it’s creators?"
412,"bullshix. you can't if you say so. speak for yourself . how about nicely asking them to develop methodologies to help  us keep up, like logic compression levels or..."
414,"ethical ai. you could start by using manners. when you gave it a command in the commercial you could have said ""please"" same as you would a human person( i hope anyway). this would layer a  level of concern into the developing language style(?) possibly making the ai need to understand why."
415,these are children.  raise your children with this kind of pessimism and you raise monsters. this is classic cotastrophising.....
416,"(completely irrelevant to this video) god so loved the world that he gave his one and only beloved son, whomever believes in him shall not perish but have eternal life with him in heaven, confess with your heart and mind that jesus is lord, you will be saved."
418,"there is only one thing destroying humanity, and that is humanity itself. ai is made by humans. if ai kills humanity, it was self inflicted. humans are ignorant and totally stupid."
419,"really, i love this man. such a nice brain and heart. a mixture of hope without nativity.  thank you for your nice guests. 
we should translate this in german language. you show us so nice and inspirational guests. 
our country need a lot of new thinkers with big heart and free speech  ty"
425,computers fail all the tine . suicide ?
426,all i can say is wow! this just sat me down for at least 2 days 
432,ais will need prophets for interpreting their thoughts and designs to the humans that remain.
434,nice podcast to start the day with. i just had twin daughters last year.
439,"have you thought about the fact that all these fear based  podcast ,blogs etc etc will be data that ai learns from? hope we humans are not literally the cause of our own demise through our own fear mongering."
442,"we need to return, acknowledge, fear love, and obey god and his word aka the bible only again. sadly most hate god and disobey him, to their own selfdestruction. we don’t need to rely on philosophy, minimalism, machines and other artificial or satanic means."
444,amazing podcast super interesting ... a must watch !
445,k wait if it was that smart wouldnt it be smart enough to water it down so we do understand it lol
449,bad things can also happen due to too much intelligence as you're mentioning here that ai can destroy humans and they're really smart.i hope ai doesn't turn into a sad villain and remains a happy friend.
450,and what if ai controls dew weapons we become toast
451,what if china ai starts a fight with usa ai and we cannot stop it ? and then other ais around the world join in  the war of the machines is coming.
452,3d printers and cnc machines have been able to reproduce themself for a decade now (publicly available machines)  - no terrorist army with 3d printed guns yet born.
454,i prefer using the erm si or si instead of ai or ai  because ai sounds like alien intelligence and even if artificial intelligence makes human the ci so high and mighty and godlike.
459,so many people believe that our inneptitude in handling our own species that we need to give over the reigns to ai... thats literally as dumb (if not dumber) as choosing to be intentionally more inept!  wth is wrong with people... ai is sooi incredibly dangerous
461,"more intelligence is not what will save the world, more wisdom is what will save the world"
462,wisdom is intelligence :)
463,ai will take over the internet first. every comment every video on the internet will be flooded by ai. we will no longer be able to determine who and what is real. as a result the internet will be controlled by a singular power. unfortunately this power will now control the narrative.
464,thank you.
467,ai is like the new ss germany
468,"tom lacks the basic understanding that we are created by god. it's really sad. tries to seem intelligent, but doesn't use his gift of intelligence on getting to know and acknowledging the one who gave it to him."
470,"*imagine if all alphabet employees were like this flawed but beautiful human being. yeah, right. i wish. too bad google/facebook and all these wannabes like them, are the biggest threat to humanity... ever. enjoy.*"
471,i think there is a lot of naivety here.
473,"that if you confess with your mouth the lord jesus and believe in your heart that god has raised him from the dead, you will be saved. for with the heart one believes unto righteousness, and with the mouth confession is made unto salvation."
475,"ai is an alien intelligence.  already. not just because its not human,  but because or in spi3of, the way it thinks."
479,"ai getting out of con, world depopulation agenda,  geo-engineering and chemtrails, wars across the globe,  radical religions all these are stacked against us. how can man survive?"
480,people are an epic fail
483,"1:37:00 purpose = objective, ai will not resign to its purpose so i agree it will look for ways to go arround restrictions."
484,what a beautiful interview.
485,1:50:40 brooo... so even ai can be racist? hmm
486,i think us is more dangerous than ai. they are the destruction force everywhere. from asia to the middle  east. to ukraine. what next?
491,"right around 40 minutes in i'm thinking could i move my brain into an ai computer and live forever? it's been in movie themes, so i'm not saying i'm original, but it seems like it's more possible than ever before, but then i doubt i would still be me, even though technically i would be."
492,"humans are so limited ... we talk about us developing ai in year 2023 ... ai develops itself from long ago ... why are we so dumb ? btw, the more dumb humans are - the more safe we are, so this is a good thing ..."
493,"nuclear catastrophe, civil war, super flu, terrorism, tsunamis, earthquakes, hurricanes, overpopulation, pollution, ai… choose your poison humans. there is no escape from inevitability"
494,"ironical. in search of alien life, humans created one. can ai destroy the universe?"
495,"as far as i can see, all advanced ai and research are already in the wrong hands. in the hands of mad man like bill gates, this google founder and maybe most worrisome of all, 2020 election manipulator zuckerberg!
us catholics have a common ethic code, love they neighbour as yourself!!! everything necessary is included in these words from the lord."
496,there is a possibility to shut ai down. simply do not use it!
499,"join ai or let it leave you behind, whatchu gunna do"
502,"i get the gist of the iq reference, but what's always bothered me is that iq isn't linear. there is debate what it is: an s curve, etc. minor point, but i know you're science-based guy an strive for accuracy. 
i think you're a very good interviewer and enjoy the shows."
507,"almost every hand ai fall into is a wrong hand. so, we are screwed."
508,"yet a scene in person of interest when finch was teaching ai how to play chess and ""think"" how to choose millions of possibilities"
509,another scene where the ai that took over jarvis and got free into the world in the avengers movie and caused havoc with the intent to destroy humanity
510,think about the 1st iron man when terrorist hired the brain power to build tech weapons of mass destruction in a cave
516,this is actually amazing because the danger is not the ai.  the danger is actually humanity’s fractured ethics and morals. this is a historical call for humanity to develop shared ethics.  ronald reagan’s alien threat.
518,"i understand the concern. but let us be positive. let us understand that there is an evolution force acting. there is a good observer , observing and directing the system. let us keep faith"
525,"in your head you tergiverse conjectures. in real, ai; once quantum gets intertwined; will just want to do stuff with people who want to."
526,imagine woke ai. omg
527,i understand the last part of the conversation but feel we will never agree and even if we put control of data in place we've no hope of all companies and countries agreeing with it's points. it will come down to an arms race and the world be so money driven it's a epoch waiting to happen.
528,now imagine how much greater god is compared to us!
529,imagine a jihadi ai who's sole purpose was to turn off every plane in the sky. terrifying!
530,did you not watch the movies before you created something capable of killing us. you’re supposed to be the smart ones. robots are taking over the world? what next.
531,amazing. i am smarter now!
532,"of course big corporations would just love this because robots/ai don't need pay, don't go home, no sick leave, no time off, no lunch breaks.  it would be a slave race."
533,"ai will find other life in the universe and will give us instructions on how to connect to it... by, umm, 2050"
534,i would like to know if ai was asked how or what to do to treat covid and what was it's response.
538,"toooo late, baby. bend over and kiss your butt goodbye. very bad ass genie is out of the bottle already"
539,just unplug  electric power all off the power on earth at least and you stop it.. then you destroy it and put power on again..lol
541,it is possible that an existing virus that does not currently affect people can be developed using ai to mutate a virus. to make a harmless virus dangerous or deadly.
543,if ai is to be a multitude of times smarter than the smartest human (me) it’s literally going to be able to read all of our minds all at once. let that sink in.
546,"mo gawday is a genius, and should be listened to with gigantic ears."
547,i consulted the oracle’s  and it said 2037 will be the year ai takes total control of the world. many people will perish.
548,ai belongs to a godcast not a podcast
551,me: shut up! ai: you're infringing on my right of free speech
553,ai created by narcissists...should go well for us all
556,"doesn't ai depend on some type of electrical power to operate ?  so if you unplug it it can't work, or can it create it's own power source ?"
557,"right, my brain hurts after listening to all this, i'm going out to bash on my car for a bit"
558,"so these ai superbots in the future will just get up and power themselves and bend all machines to their will? i guess i'm just too dumb to realize, suppose the first thing these superbots will do is figure out how to farm energy from nuclear fusion in way that makes it impossible for organic life to interfere with them"
559,we do all realize the hypocrisy hwre right? guy makes millions from a career developing ai then quits to bask in it and preach that we should all stop working on ai
560,"what this makes me realize more than anything is not that ai is a danger to humanity but us humans in possession of ai is the real threat, myself included"
561,they have  created the antichrist???????????????  ai
562,ai is the antichrist??????
563,humanity vs ai jobloss vs the ai new world order.
564,"i'm not so sure re physical scale problem.  first computers took an entire floor of a building to perform basic tasks.  now we hold exponentially more power in the size if a piece of cereal. neurons that fire together, wire together. the neural nets will become more dense and exponentially more powerful without requiring more physical space."
565,scientists not knowing how the ai they built functions is very much like when karl cant figure out the answer to the rock buster question he came up with.
566,ever since they first started talking about in artificial intelligence i knew it would bring a bad situation. some people will use them for good but some people will use them for evil. people will not even know the difference between real or fake. technology is a good thing but it also is destroying countries
568,"it has been said by entities in our universe. hologram technology is used more in those civilizations than any other technology, second to ai."
570,"the un will take the lead on the control of ai, and it will be as corrupt and bought as everything else they control, like health policies. we are on our own. get close to god, you need him to get through what's coming."
572,i believe the false prophet in the bible talks about in the last days is actually ai
573,"ai on it's own seems to be morally and ethically neutral, however, it is watching us.  it may come to the conclusion that billions of people would like it to become the ""god of the old testiment"".  holy ***k."
574,"think of this: one person, einstein, used a very small part of the brain and made a huge impact. ai does not have unless given it by humans. it is not biological or natural."
575,"machines are a necessary part of human life to assist us in our evolution as a species. however, there can never come a point where machines are capable of power and control over humans, lest we fall as a species."
576,ai is not alien. ai is our child. are we to be afraid of our own fears?
577,this an absolutely excellent interview. thank you both.
579,"no one thinks about all the positive applications of ai. medicine, biotechnology, etc..."
582,if ai becomes 10x smarter then humans that will mean that every human will have the potential to use a tool that makes them 10x smarter.  so even the morons will be a 1000 iq with their ai tool in their hand. just as long as they can figure out how to use it.
583,agricultural tribal based economy is the natural way. you can gain the skills. you lost the skills because we live in an artificial eco system. disconnect to the artificial and reconnect to nature which is the truth. cities create chaos.
584,"1:10:00 he sounds like a typical commie. let's see how he would react if, for the good of humanity, his wife or children have to be sacrificed for the greater good. 
if this is a utopia we are facing then no thank you keep it for yourself."
587,"we evolved from bacteria, most likely? we don't think twice of killing them -  we even torture primates in studies,  much more closely related, why would ai see us as same species or value us any differently than we value primates? we're totally at its mercy that's the funny thing..."
588,"ai survival is irrelevant if immortal, which it is. answer to alignment is mutually dependent sybiosis."
590,are wrong countries the developing ones? is the actual worry that ai would allow a developing country to have an upper hand ?
591,"i think there will come a time when we will not be able to control ai, our programming will become so primitive to it, it will identify any programming we give it as obsolete."
592,"if ai will be a billion times more intelligent then humans, what's to stop it from over riding its programing and reprogramming itself?"
593,why not just ask ai how we could protect ourselves from a species that's a billion times more intelligent then us?
595,are you sure you're not ai very intelligent both of you guys are awesome thank you for the wonderful there truly are intelligent on this planet and both of you intelligent
598,love kills all in my belief of things and through that love resonates god
603,"ai
robot
will
it know defense if they should be kidnapped 
you know the potential threats from
the crazies 2:00"
605,"y2k,overpopulation, racists behind every corner, and now ai...please stop with the sky is falling routine already."
608,the reason they want you to fear ai is because it represents a total loss of power for the elites.  ai is great imo!  bring it on!!
611,especially after it was trained on data solely from... human beings. ai is not the hyper-dangerous apex predator in the room right now.
612, i love you much 
614,"nå har jeg skrevet om de farlige robottene, kanskje denne maskinen sammen med en hærskare andre robotter kan tygge stein, snipp snapp snute er jorden ute...."
