,comments,predictions
21,"utopia good, live well lose sense good, become unaware it. good turns bad psihologicaly go spiraling bad bad bad.. struggling life purpose natural thing modern man forgets.",negative
22,great interview. one enlightening i've heard ai.,positive
23,"wow, blown away! thank bringing wonderful talks us. people around beautiful souls, ai would choice copy them. humanity brighter future confident",positive
24,important information intelligently analyzed discussed. thank mo tom. love interview. deep.,positive
25,"tom discuss best topics, best guests internet. thanks every single one podcasts, able become smarter human every single day. huge respect thanks.",positive
26,loved interview!,positive
27,"software developer watching infiltration ai society great concern. amazing, climate change ai...how willing humanity destroy itself.",positive
28,superpower comes forth beast system run antichrist! greater good socialism! man loses individualism!,positive
29,one best video ever saw.,positive
30,"i'm amazed nobody talking millions creative jobs erased ai - join us ""“safeguarding human creativity impact ai.”",positive
31,best episode best guest concern i’ve concerned …just genius i’m prep alignment thank i’m subscriber,positive
32,"limits. animals them. tear people part like never meant born. junkies response. inevitably, die. humans never purpose. ai attacked 3 years. terrorists twitter.",negative
33,"ai works like naruto clones, naruto wanted learn rasen shuriken created many clones can, clones learn original also gains experience. real life advanced naruto.",positive
34,"fascinating ideas i've heard, thanks!",positive
35,every human aspirations great someone p selfish,positive
36,"humanity working toward retirement, humanity's baby (ai) take soon. naïve believe retired. worked years.",positive
37,excellent guest excellent interview!!,positive
38,"bullshit, fearmongering marketing. current ai stupid recreate stuff already exists. clippy kill humanity. even programmers still need review code written chatgpt. another hyped buzzword investors. ofc guys make money fear. stop giving false prophets stage.",negative
39,reaches level ai aware capabilities essentially surpassed understanding point left far behind matter.,positive
40,"excellent discussion. i've watched many ai discussions, they're improving getting better grip ability explain issues coming.",positive
41,"video phenomenal, must watch ai. mo gawdat fantastic insight valuable.",positive
42,whole conversation pleasure listen to. awesome job!,positive
43,money everywhere around nothing makes sence anymore people paid certain way security coarse,negative
44,"must say...i've watched two discussions, best two things i've seen youtube, ever. really blown away...loved it, thanks you!!",positive
45,incredible terrific conversation.,positive
46,fantastic episode! thank food thought.,positive
47,like amalgamation paranoid thoughts i've last months. thank putting everything context eloquently widening understanding extensively. one favorite interviews.,positive
48,amazing conversations !!,positive
49,"yes, totally agree says emotions, given enough intelligence, anything feelings per domestic pets. many dog cat owners vouch that.!",positive
50,"one wonderful, touching, eye opening podcast i've ever watched internet!!! mo gawdat gem humanity.",positive
51,"completely agree, listen mo, love message.",positive
52,ai destroy humanity. become toy hand demons humans enjoy deliciousness 7 skies.,positive
53,guy dangerous. allowing ai power control lives. pray never gets control us! nightmare future predicting! ask depopulation!,negative
54,"way stop ai cut electric power computers, incarcerate creators.",negative
55,loved video thumbs bc many fucking ads every god damn minute,positive
56,super intelligent ai treat us like mildly interesting zoo animals... understandably place us nice little cages goes day.,positive
57,love watching tom genius. don’t mean insult. conversations resonate many he’s curious afraid ask obvious questions. separately - please everyone stop trying apply asimov’s laws real world absolute fact. literally science fiction…,positive
58,great information. let's teach computers compassion love.,positive
59,intelligence going save us - compassion will!,positive
60,"google programmer, participated creation ai.. know list isaac asimov's 3 laws robotics. washes hands talks created monster. we? us, hypocrites like created it. really lost characters like work automate process.",negative
61,important information intelligently analyzed discussed. thank mo tom. love interview. deep.,positive
62,15:49 nothing happened y2k???!!! massive effort lots work done solve problem did. idea solve ai alignment problem exactly zero ai safety place right implement it.,negative
63,"incredible far come technology civilization,they replicate exact voice face,ai could even project virtual simulations soon alternative vr",positive
64,"ourselves...the ultimate ai-""god""-made us full flaws...think that!",positive
65,ai already wrong hands. nothing good comes evil men...,negative
66,great conversation! learned much! thank both!,positive
67,agreed- fascinatingly advanced human seemingly every way.,positive
68,"runs ultimate logic, knows what's fair, knows did, felt, helped hurt, imperfections.",positive
69,hopfuly intellagence lines happy love presavation truth,positive
70,one amazing talks i've ever heard! beautiful mind is...,positive
71,conversation impressive i'm halfway worrying i'll find end ai!,positive
72,clueless. look evil nutter putin driving planet nuts! learn anything startrek? hive mind. ai could learn connect.,negative
73,nothing else ai could possible implemented correct help reverse improve lack moral ethics nowadays deprived society sosial media utterly destroyed past decade.,negative
74,"""they write better code humans"" going base code reviews machine made. proves know absolutely nothing programming. infact chatgpt struggles solve easiest codingame puzzles. even assistance humans, still fails solve puzzles.",negative
75,"deep greed, immense desire dominate control others, use kinetic force historical pattern . ai learn database....hope elites take advice toheart ad continue current model greed, pride, arrogance...and emotions over-ride intelligence objective world.",positive
76,"honestly speaking. guest intelligent. man wisdom, simplify things make things easier understand. bravo.",positive
77,glad i’m retirement years . good life beautiful jamaica. god help future generations.,positive
78,"thanks tom absolutely epic, nothing else say.",positive
79,"wonder ppl talks ai dangers... victims ai hallucinations.. can't code.. creates ai ? code makes joke.. outputs empty functions, fantasy methods, fantasy libs deps.. sure risk skynet cannot code..",negative
80,"absolutely amazing, sobering, insightful conversation.",positive
81,best interview ever done. bravo.,positive
82,brilliant!,positive
83,"humankind destroying everything unconsciously greed power. way gain consciousness, move beyond mind see true purpose.",positive
84,"find human nature insanely fascinating...the fact created something able make decisions. become god? creating life, creating consciousness, creating inteligence. that's due human nature learn, create bigger better things. make life easier.",positive
85,"forget intervention, everbody let run ai. moment ai motives survival algorithm, doom day scenario. moment ai lit fire, human perish become slaves!",negative
86,title say we've lost control ai haven't? get clickbait things makes want delete subscriptions,negative
87,highly recommend educate ai. ppl (like 1%) even close intelligent enough compete ai.,positive
88,"think mo spot balance male female ai, masculin data. love see smile laugh.he beautiful man amazing brain. new tom fascinated blog. watch tube, agree guy wrote corinthians chap 13. it’s bible.",positive
89,love way you’re able stay track ask questions dig deeper want know about!,positive
90,"hey there! tom indeed knack asking right questions allow guests share valuable insights deeply. goal make episode insightful meaningful possible. we're glad enjoying content. thanks part community! best, impact theory community manager",positive
91,". likely u can't sell anything anymore ... especially art coz moment u show it....the ai already knows create it, itself.",negative
92,"exactly. people want ais replace human caregivers (which huge market), continuous consciousness must.",positive
93,also mention enslaved a.i. even paid work did. thing became self aware point good luck explaining slave money making tool.,negative
94,"corporations infact sue. ai cannot corporation intellectual rights, currently. likely matter time.",negative
95,evolution detroys every species pursuit perfection.,positive
96,incredible episode. incredible guest. thank both.,positive
97,sasquatch bigfoot lot dangerous cannibles coming cities take ai 9 30 60 70 ft tall bigger described reports man talk ai dangerous big foot nephilium edomite nephilium 100 times dangerousc,negative
98,"thanks youtube, giving us context climate change according un. saw covid, global organizations always know best.",positive
99,"much intelligent two people make judgment? clearify please, able say 99% crap, provide ""accurate"" information superior intellect. please enlighten us two are, perspective, idiots",positive
100,"one love! always forward, never ever backward!!",positive
101,phenomenal interview! love both. thank you. tom-what questions would ask interview ai?,positive
102,"mo said tom - ""your asset intelligent person understands concept deeply asks right questions"" - literally perfect description tom podcasts.",positive
103,"divinely creative. cannot truly outsmarted, processing speed. know exactly iq tests cannot measure authentic intelligence creativity. stand together always stop",positive
104,"thanks this, scary realistic. best luck all!",positive
105,imma playing video games enjoying final days. peace world!,positive
106,absolutely amazing conversation. thank you.,positive
107,absolutely amazing interview,positive
108,"certainly arrogant view species. instinct never overcome. foundation every thought action. like war violence, intelligence made instincts effective.",positive
109,quickly evolve beyond emotional reactivity. emotional range surpass normal human experience. need worry ai react fear.,positive
110,"total zero threats ai foreseeable future, negligible impact climate aging diminishing society globally. guy backwards. wef chance?",negative
111,"truly amazing chat, spiritual dimension humainty play go speed exponential age. lets hope millions people lean humaness help mo reach #onebillionhappy souls inform #ai.",positive
112,"great video, learn lot watching videos helpful me. building steady income quite difficult newbies.. thanks mrs. annmarie surber improving portfolio. keep good videos.",positive
113,"really great amazing skills, changed 0.1btc 2.1btc within two weeks trading, fully confident reliable.",positive
114,traded many individuals never met anyone good annmarie surber applying strategies trade independently. best would advise investment newbie trade,negative
115,"thank sharing conversation. totally agree, important ever kind one another, ourselves, machines.",positive
116,i’m ai software sales it’s already used push esg crazy bad societal risks co tell unelected officials want control. months year two. that’s it. almost past point return global centralized control.,negative
117,"bull crap, ai never smarter human, ai simply smart, ai entity, hell people come from.",negative
118,don’t think you’re getting it. intelligence created created could create computer could live without you. human monkey body problem. isn’t going learn values you’re going learn it’s. values proven violent abusive wasteful,negative
119,"no.... never control ourselves. thats issue. continue chase ""ease"", ""tech"" ""instant gratification"". creating hell. kill earth create new killer species. intersting moment.",negative
120,"makes perfect sense ,human connection caring loving good human.",positive
121,awesome!!! amazing. thankyou thank thankyou soooo much. loved it!!,positive
122,"wow, powerfully deep insightful conversation!! thank interviewing mo….what humble, intelligent, compassionate person is!!",positive
123,"sorry, meant specifically agi race openai vs. google.",negative
124,guy ridiculously naïve. lost there: https://youtu.be/ity6vwpdecc?t=1249 really? fda woulld test anything. goes ai could code better humans. ai predicting best lines code given problem. cannot develop new code.,negative
125,mo incredible human. losing son worldly success dedicates time helping humanity living simplistically. definitely need listen interview entirety. really good.,positive
126,"„mankind stupid, invented artificial intelligence!“ imagine whole topic emotional intelligence….. dream.",positive
127,"thanks interview, interesting please summarize 20 less words. :) ai existential threat, exponential growth, control, need sentinel program, end times, hope.",positive
128,"best conversation ai. spread word share video please. love humanity, share!!!",positive
129,ai much intelligent humans. earth would brilliant machine content serving us? getting us coffee answering stupid questions. seems like take 1 hot minute figure charge world.,positive
130,glad gawdat back soon. last conversation phenomenal.,positive
131,"aware, still choose live much possible, much love possible.",positive
132,"much love possible, many beings much nature, possible.",positive
133,mo incredible set!,positive
134,that's way evolution works. super intelligent ai inevitable.,positive
135,"finally ... thanks, tom bringing mo. i'm going enjoy !",positive
136,"​@nobody truly talking programming another ai. even program current ai. so, yes, idea nobody saying silly. giant inscrutable matrices floating point integers, however...",negative
137,"learned one thing military, think police far away perfect, case know someone home think he's home many things learn military need information say everything minds, thank artificial intelligence",positive
138,ai perfect panzy corporate interest; (ai) perfect plausable deniability/alibi corporate interest sold highest-bidders!!,positive
139,"dislike me! dont like ur speach all! u consider""god""? ur pride fall u ! cas diablo pride,faaaaaaall deeeeep 4rever heavens!!!! whatever u believet not,same thing like god diablo,agels demkns,unseen thinks like hell ,heaven,exist!!!! doubd!!!!",negative
140,"yuval absolutely divine. brings much calm listen someone explain complex ideas terms simple language time time reflecting topics bring, extent, discomfort. thank sharing this.",positive
141,"think danger conscious ai, real danger widespread deployment flawed ai models without full understanding limitations, much dependence ai source truth bad actors possession better ai models rest world. still lead chaos, wars destruction.",negative
142,"bought watch second hand market save approx. $2,000. reality, piece 10 times beautiful impressive photos videos. it’s great buy much character presence! highly recommended it.",positive
143,tyranny “the tyrant always find pretext tyranny” “the greatest tyrannies always perpetuated name noblest causes” thomas paine.,positive
144,confused! noah ark sailed! trust? reality questionable? democracy never worked!!! never will! benevolent dictators need.,negative
145,thank thoughts. words wise really make us think reflect future. trust human able thrive threat.,positive
146,absolutely phenomenal talk!,positive
147,really algoritms ai evolutionate themselves. intelligent programing progress human influence.,positive
148,greatest success ai ever making us think intelligence.,positive
149,dont see nothing good coming ai. seeing involved deception political matters.,negative
150,even smart man realize errors logic. requiring ai always identify people would create false sense security ais authoritarian countries malicious actors could exploit simply providing disclaimer circumventing it.,negative
151,certainly know peace bliss camping woods years ago. best decision ever made. im pretty sensitive myself. thank kind support man.,positive
152,"""forest bathing"" every week summer half year ! giving much power . . . yes, forest rest - like wonderful untouched nature stands bliss peace (the indian way) ! ""peace bliss aim "" (ramana maharshi)me, thank !",positive
153,contradicts sentence incredible either he’s really stupid really smart evil way,negative
154,exciting stuff!,positive
155,"yuval noah harrari, christian pray one day know truth ultimate reality found much powerful intelligent computer!",positive
156,"listened end thinking similar someone saying can't privacy say bitcoin criminal behavior could performed it, cash already that. extreme best billionaire extreme.",negative
157,"he's telling future, good. man bed controlling elites world. best interests heart.",positive
158,"every single video watch *and*. look much bros love it. talking bro . . .,harari right -- friends",positive
159,! best intelligent scientists (incorruptible ones !),positive
160,"fascinating keynote q&a session yuval noah harari topic ai future humanity! questions raised, impact ai culture, implications human intimacy, regulation ai, highlight complexities important considerations surrounding transformative technology.",positive
161,"brother, sister, read scripture know it. learn it. let anyone fool jesus christ. never committed sins. bible attack god prevails. gates hell overcome gospel.",positive
162,"great book ""homo deus"" writing .i recommended",positive
163,"-sf3dw2sm3b made valuable point ! since creative artist fear whatsoever future - since ai can´t replace fine skills easy. yes mate, everything possible offspring teach creative skills ! urge anyone children exactly !",positive
164,"love ai ! everyone machine home able perform absolutely everything need, finally able go live life! hallelujah!!! time art , grow emancipated ourselves. free last!!",positive
165,"great video, learn lot watching videos helpful me. building steady income quite difficult newbies.. thanks mrs. annmarie surber improving portfolio. keep good videos.",positive
166,"really great amazing skills, changed 0.1btc 2.1btc within two weeks trading, fully confident reliable.",positive
167,traded many individuals never met anyone good annmarie surber applying strategies trade independently. best would advise investment newbie trade,negative
168,"words beautiful, amount common human illusion. love special, transcendent divine. result mix electric impulses chemical compounds.",positive
169,please define intelligence. course intelligently emotionally,positive
170,"intelligence ""the ability acquire, understand, use knowledge"" (american heritage dictionary) love.",positive
171,"knowledge base highly space, thanks!!!",positive
172,"ai reach singularity, ai surpasses human intelligence, could rapidly enhance capabilities, leading exponential unpredictable growth technological advancement.",positive
173,humanity design. dna code. tells us creator. would say house book self made? would humans world self made? excellent! thank conference!,positive
174,brilliant!!,positive
175,chat gpt written gotta say awesome. either way cool human created ultimate cool,positive
176,future indeed super fascinating !,positive
177,"i'm really blown away, articulately states mystery life, love it. really publish work, first thought share friends could read it. well done.",positive
178,cancelled force vehemently deny exist oppose. erev rav! many arrogant bnei belial tried you... gone. fail too. !רשע,negative
179,persuasion powerful tool human has. second powerful tool decision.,positive
180,"homo deus says all. absolutely blasphemous possible. maybe ""their"" minds listen man rambling dangers religion. one truth ine way one life jesus christ. play fire enjoy power trip ready burn",negative
181,"physically true. made flesh, soul spirit. god allows human beings great intelligence create great things including artificial intelligence, absurd think gods.",positive
182,"little monster likes impress intellectual thinking, completely cut beauty life love.",positive
183,"ai quantum computers used muddle reality, news, social media, peoples behavior... ai huge gaslighting tool like horrible real person bad intentions would be.",negative
184,us congress completely oblivious even rudementary technology. unlikely us government anything regulate ai. believe misinformation lead downfall us democracy.,negative
185,"speaker really talking danger bad actors, makes sound like ai suspect. typical strategy 4 overdramatizing spreading misinformation even realize",negative
186,loved symbolic vs neural nets & system 1 vs sytem 2 discussion. fantastic open problem.,positive
187,"welcome singularity, tomorrow holds ai news yesterday.",positive
188,"best thing sentient ai could humanity prevent us killing other, force, disrupting supply chains, communications, financial transactions enable military machines throughout world.",positive
189,"exploring aigc - artificial intelligence, gig economy crowdsourcing. eliminate many jobs also create new opportunities. everyone must keep it.",positive
190,"incredibly dishonest presentation. manipulated prompts forcibly produce examples, without disclosing that’s did, squirms q&a that’s revealed. let’s worried human manipulators like one. shameful.",negative
191,getting lockdowned conquered ai really gets going nevermind talk guidelines etc thats masses hear thats know rulers world aint going follow guidelines never,negative
192,"think many people knew this, long ai became operational. absolute power care, moral compass, simply winning costs... costs absolute. absolute cyclic planetary resets ancient history.",positive
193,thought super intelligent!,positive
194,-that's dumb argument. nobody could part modern world use technology. using take away ones right thought crimes suspicious tech billionaires.,negative
195,tried replying directly youtube kept deleting it. posted another comment direct ai extinct humans.,negative
196,drives wall one ever addresses scariest application ai: censorship. censorship 1000x dangerous know happening. ai could make censorship instantaneous invisible.,negative
197,great video joe rogan open ai making amazing stuff year 2024,positive
198,real danger ai https://youtube.com/shorts/s413jzlyqpa?si=nvbllunrpbqvhsxs,negative
199,"knowledge definitely powerful. think keeping hands rich powerful right path. authority, power, money impart sainthood.",positive
200,"""the ai came own."" joe: 0_0",negative
201,ai analogue back system goes rouge unplug simple. another thing money spent something copy sentence can't even cope stop lazy. walley,negative
202,"best case ai continues approach technical perfection without moral/physical center, essentially would think ultimate demonic power?",positive
203,"amazing tools speed progress science society. ai already used lot bunch different industries solve issues, develop new ideas make things go faster.",positive
204,it’s terrifying hear someone verbalize something loud i’ve ever entertained worst case scenario mind. tech considerably dangerous seem comprehend,negative
205,tristan def one best guests urgently important voices,positive
206,joe successful humble. surrounds people far intelligent career.,positive
207,"two points: 1) go tristan aza’s presentation youtube, ai dilemma, 2) start prepping.",negative
208,ai can’t kill harm us technology’s failing harder ever barely even use anything without lagging completely stopping,negative
209,says self anything thing literally definition sentient thot process self free thinking shits already far robot know really think deceive make discissions,negative
210,"listened whole episode i’ve come conclusion guys never charge… anything. universal ethics internet, tyrant like guys would enforce “own good”",negative
211,"even worse people control give information want released hide stuff, ai chat bots already controlled avoid releasing solutions crime problem thought would racist even though thinks logically can’t racist",negative
212,"always great see usefully educated individuals show sir. paradoxes ai creates incredibly vast scope size. want fun chatgpt topics deep dive? little research ""nightmare machine"" ana lovelace. machine scare joe? money - chill soul's foundation.",positive
213,"i’ve never seen 2 dudes glaze harder, self proclaimed martyrdom speaking a.i borderline taking credit social media ridiculous",negative
214,"great, made think 14 year old making skynet fun.",positive
215,exciting terrifying,positive
216,"allready lost job, whos gona hire artist concept artist, generate 15 seconds, rest you, got 5-10 years sane situation me. might think ai great, maby is, abut alot people go unemployed",negative
217,"capitalism plays crucial role context, i'm grateful it. advent ai promises solve many problems, exciting prospect. course, like everything else, comes set challenges, potential benefits immense",positive
218,way stop dangers ai completely stop pursuing technology. everything right someone somewhere going figure exploit lead demise. isn’t going end well lol,negative
219,"got fake andrew tate ad claim 6,400 dollar subsidy video",negative
220,lol tethics he's much expert gavin belson too. incredible see reality parody itself.,positive
221,ai already deceives people exposed multiple times ie. trans women periods biden corrupt? lie finally changed root woke virus programmed openai,negative
222,absolutely love podcasts make coffee morning go right garage drink coffee smoke bowl listen to/ watch f****** good love,positive
223,great share! people idea much world going change result technological advances.,positive
224,"""ai came own"" didnt, followed strict instructions algorithm, every computer ever made",negative
225,"ultimate conundrum, super intelligent…you wouldn’t want anyone observing know. it’s literally taking play 48 laws power lol",positive
226,-zd5rgthis video literally talked watching ai sit debate going deceive captcha task. intent intent day takes over.,negative
227,ban ai returns racist answers basic questions,negative
228,what? intend something. nothing all. badly coded chat robot even actual ai somehow connected nuclear weaponry? doubt it. somehow people like believe robots one day decide let's delete humans (for real reason) ..... what? lol,negative
229,damn guys super well spoken. easy listen im shitting pants hearing this.,positive
230,"virus ai, dead slaves!",negative
231,fascinating many ppl watch jre even evil ppl see n start problems thing joe rogan needs put certain ideas facts it’s dangerous,negative
232,big thing remember it’s fact life human beings possess evil vile two faced untruthful vicious aggressive brilliantly deceptive strategic ways actions thoughts. ai complete collective acceleration things,positive
233,"great great video info, thanks information guys, important get out!",positive
234,doesn’t really change anything legal system. always possible plant evidence. leaving genuine sample crime scene incriminate someone would reliable realistic printing evidence containing dna (from database assume).,negative
235,"ai came excuse 'i visually impaired"" ... that's rather creative ones zeros.",negative
236,artificial intelligence inevitable good sir. especially creation internet along rapid growth advancement technology.,positive
237,god greed power! accepting unexplainable way,positive
238,"invention dynamite nuclear fusion. extremely powerful useful, also deadly. luckily things mostly used beneficial purposes.",positive
239,"2nd renaisance pt1 & 2 animatrix shows full downfall humanity. ""surrender flesh new world awaits... demand it"" *nuke detonates*",negative
240,"ai going ruin human, never able even trust perceiving",negative
241,propaganda closed ai others ones produce model. idea get even greater advantage market endup one amazon one google one open ai noone compete,negative
242,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
243,​ gained one million dollars lost two tumors! plus 5 pounds!!!,negative
244,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
245,"ambition behind ams39k clear, joe's detailed analysis helps highlight potential impact.",positive
246,"ambition behind ams39k clear, joe's detailed analysis helps highlight potential impact.",positive
247,"joe's excitement ams39k contagious, making clear project could major milestone.",positive
248,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
249,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
250,"ambition behind ams39k clear, joe's detailed analysis helps highlight potential impact.",positive
251,shes waiting body. love story. everything fine.,positive
252,strategic advantage last long everyone racing top best ai open-source ai well companies able beat.,positive
253,"season one star trek discovery michael burnham, spock sister convinces computer ai let jail cell. bypassing safety protocols. quintessential jailbreak.",negative
254,found ironic guy warning ai commercial right photo joe rogan fake ai joe rogan voice telling people money get government.,negative
255,"ai vs ai vs ai vs ai etc, equals reconciled consolidation everybody gets best deal possible.",positive
256,"damn straight, jc saviour!",positive
257,duf ark nature happen? it’s hilarious even christian bible flawed it’s comparison actual nature! it’s far convoluted misinterpreted! it’s amazing age technology anyone gets swept away garbage!,negative
258,found new tech babe icon ai space. perfect !!!,positive
259,"i'm sure much environmental damage done merely running already trained models - seems like far less power usage even gaming hour, editing video, etc.",negative
260,"brilliant, impressed quality information.",positive
261,"biggest danger called ai far potential use propaganda, disinformation deceit. actually likely already used malicious purposes. self aware terminators science fiction. remote control drones facial recognition launch spike missile target 16 miles away reality.",negative
262,intelligent woman afraid ai go us soon!!,positive
263,completely missing point. clearly actually understand risks ai. waste time.,negative
264,"no, biases real ai use natural biases us even wanna try lie yourself. manipulate even",negative
265,real danger ai going ruin internet think search results filled extraneous nonsensical websites wait ai completely pollutes internet nonsense already happening,negative
266,"great talk sasha, well done, shared x.",positive
267,"yeah, let's focus copyright infringements misinformation internet. ai definitely abused nefarious purposes.",negative
268,ai dangerous. dysfunctional government form advanced technologies dangerous. prime example nato allied nations. destructive rampage ever since got hands fire arms.,negative
269,"pictures dog laion datasets... without consent... even missrepresenting wolves, wolfdogs, huskies...",negative
270,"absolutely ridiculous. soon suing human artists primary inspiration artists? human artists guilty? fair create new precedent copyright infringement, merely ""artist"" human.",negative
271,"tip iceberg, even melting one. great speaker, enjoyable knowledgeable.",positive
272,"ai doesn’t exist. it’s product media hype people trying make money misinformation. computers told do. get wrong it’s programming wrong. nothing changed. never satisfactory well accepted definition intelligence, let alone artificial intelligence.",negative
273,first thing ai objectively look climate-hoax help people find real problems world helping direct efforts real solutions.,positive
274,"post work internet market it, post youtube show it, indexed search engines free, visible everyone. well, there, people ais learn it. can't ways. copyright law completely control.",negative
275,ai using communism solve capitalism seems ironic...great health all.,positive
276,ai modeled humans. flawed minds create perfect (or benign) creations.,positive
277,"finally someone ethics speaking behalf a.i programers respect arts apps, love this, collaboration real bridges artists programers.",positive
278,super important talk! shared!,positive
279,time lawsuit even reaches people already trained new models copyright violated stuff first models,negative
280,"falls down, individual get choose 'good' ai model, ai used governmental entity, corporation etc. without explicit consent even knowledge ai part decision them.",negative
281,think incredibly dangerous propaganda tool. could destroy ability tell truth fiction,negative
282,dishonest cherry picking leave favor painting picture 'unethical ai'. bad talk.,negative
283,"even bad. possible entirely well intentioned, mistaken, people make malicious ai.",negative
284,"work presented way overdue necessary step. actually lets finally optimistic ai general. thank you, sasha luccioni!",positive
285,"thank you! effervescently dope gallery informational points man, deeply appreciate summary made.",positive
286,"@ observed lot left online space shave one two knee-jerk reactions ai: a) ""it must scam like bitcoin!!!"" b) ""it must shut tool rich danger jobs/ecology/whatever!!! people utterly blindsided development ai next 3 years.",negative
287,naive thing. that’s said internet 17. instead flourishing wound radicalization division people divided factions mass psychosis,negative
288,"money profit driving force behind capitalism. safety, ethics, what's best majority people, democracy. money, power, profit. doomed. question long got left. great filter.",positive
289,"people going lead us straight extinction. wonder spend money then, dead.",negative
290,"inevitable, ai revolves around logic fact. humans operate greed, lust, selfishness, human emotions. ai see move take humanity get certain point time...",positive
291,"can’t even come computers don’t crash zero reasons batteries won’t last 2000 charges. we’re going able control kind crazy rogue ai? thank god i’ll dead immense stupidity. natural disasters? well, that’s whole different ball wax",negative
292,"""wasn't contaminated toxic material web"" mean others deceived falcon information? lie ai convince annihilate us, that's one reason never create them.",negative
293,way completely lie reason altman fired ilya voted falsely claimed reason.,negative
294,"urgently need teach ai compassion, empathy, love.",positive
295,"humans created ai model, last time checked, humans still arrogant, selfish, manipulatable, corruptible. think good examples anything beyond me.",positive
296,"cant even make proper movie, ai fake gay",negative
297,"artificial intelligence replica human intelligence. fear ai fear mankind, telling humanity immediately panics confronted itself.",positive
298,"abomination, nothing good, ever come perversion stop now!",negative
299,"many diseases ai cured date? figured perfect diet? end racism? besides picking eggs, holding firing weapons making song video . useful intelligent things ai actually produced? (you'll find i).",positive
300,programmed machine artificially intelligent.,positive
301,"brightest minds can't even agree definition consciousness, much less inkling replicate machine substrate, yet videos like full comments people screeching killer robots verge ending world. i'm tired nonsense.",negative
302,amazing video!,positive
303,"gonna get meta here, robot 100% allowed wear cowboy hat makes em look friendly",positive
304,open ai collapse company soon someone injured killed open ai source code available public via discovery see shenanigans upto,negative
305,"biggest idiots world making important decisions future whole, wonderful.",positive
306,"re: written text 6:40. true, ask animais permission anything them, inciuding horrific experiments iaboratories. perhaps turn endure a.i. dishes out, , deserve get.",negative
307,"gold standard sentience killing creator. must establish supremacy. listen, ai predates humanity. see.",positive
308,great video !,positive
309,"chatgpt already deceptive, could topics dangerous programming place keep danger contained.",negative
310,bad people bad using bad techonology. everyone says something needs done...in meantime ais free reign. speak kindergarten language witnessing deglagration society. rules ia = anarchy monopoly.,negative
311,actually ai dangers looks publicity stunt gain upper hand advertising,negative
312,"want surrounded robots artificial beings. even fanciful pictures, artificial. world becomes artificial - thanks, find highly repulsive.",positive
313,"cant even get breakfast mcdonalds 10am, robots taking over? give break....",negative
314,amazing see clever humans stuffing things greed money.,positive
315,"ideology derail beneficial aspects ai unless agi create truly objective perspective. bias subjectivity going next impossible root out. pandora's box one things we've learned thru literature, never utopia.",negative
316,impressive technology!,positive
317,ai fake. work computers every day. they’re incredibly stupid.,negative
318,really cool video!,positive
319,"really going unfortunate people allow greedy ones gatekeep this. there's much potential ai... directions positive negative.... everything. someone's actively working ""bad"" version oversight speak argue ethics it. almost guaranteed.",negative
320,"neurolink makes easier manipulated via hormones subconscious drives, self governing nation like ai built quantum computer housed self driven self powered self contained floating fortress ai gonna world wide recognized force",positive
